id,payment_date,invoice_number,deduction_amount,deduction_reason,unique_promo,promo_quantity,net_receipts,list_price,purchase_order,promo_asin,rebate_in_agreement_currency,unique_key,podata_po,podata_asin,case_size,quantity_received,case_cost,total_cost,eaches_quantity,agreement_num,rebate_percent,agreement_end,unit_price,quantity_variance,actual_netreceipts,netreceipts_variance,valid_rebate_rate,valid_po,valid_sku,price_variance,qty_variance,validation_status,invalid_amount,detailed_reason
3629,2023-11-27,6429-801766995,34790.4,Promotions ,14C294CYB0BJXL3NFZ,1,53.4,65.94,14C294CY,B0BJXL3NFZ,10.68,14C294CYB0BJXL3NFZ,14C294CY,B0BJXL3NFZ,0,22,0,0,0,,0,,53.4,1,0,53.4,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3630,2023-11-27,6429-801766995,34790.4,Promotions ,14C294CYB0BJXL3NFZ,1,53.4,65.94,14C294CY,B0BJXL3NFZ,10.68,14C294CYB0BJXL3NFZ,14C294CY,B0BJXL3NFZ,0,22,0,0,0,,0,,53.4,1,0,53.4,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3631,2023-11-27,6429-801766995,34790.4,Promotions ,14SKQAYJB000S4I9X8,96,3755.52,4331.52,14SKQAYJ,B000S4I9X8,751.1,14SKQAYJB000S4I9X8,14SKQAYJ,B000S4I9X8,0,96,0,0,0,,0,,39.12,96,0,3755.52,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3632,2023-11-27,6429-801766995,34790.4,Promotions ,14SKQAYJB000S4I9X8,96,3755.52,4331.52,14SKQAYJ,B000S4I9X8,751.1,14SKQAYJB000S4I9X8,14SKQAYJ,B000S4I9X8,0,96,0,0,0,,0,,39.12,96,0,3755.52,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3633,2023-11-27,6429-801766995,34790.4,Promotions ,14SKQAYJB001AMH9Q0,35,795.9,1173.9,14SKQAYJ,B001AMH9Q0,159.18,14SKQAYJB001AMH9Q0,14SKQAYJ,B001AMH9Q0,0,35,0,0,0,,0,,22.74,35,0,795.9,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3634,2023-11-27,6429-801766995,34790.4,Promotions ,14SKQAYJB001AMH9Q0,35,795.9,1173.9,14SKQAYJ,B001AMH9Q0,159.18,14SKQAYJB001AMH9Q0,14SKQAYJ,B001AMH9Q0,0,35,0,0,0,,0,,22.74,35,0,795.9,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3635,2023-11-27,6429-801766995,34790.4,Promotions ,14SKQAYJB00XOOPM3O,12,358.56,603.36,14SKQAYJ,B00XOOPM3O,71.71,14SKQAYJB00XOOPM3O,14SKQAYJ,B00XOOPM3O,0,24,0,0,0,,0,,29.88,12,0,358.56,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3636,2023-11-27,6429-801766995,34790.4,Promotions ,14SKQAYJB00XOOPM3O,12,358.56,603.36,14SKQAYJ,B00XOOPM3O,71.71,14SKQAYJB00XOOPM3O,14SKQAYJ,B00XOOPM3O,0,24,0,0,0,,0,,29.88,12,0,358.56,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3637,2023-11-27,6429-801766995,34790.4,Promotions ,14SKQAYJB00XOOPMF2,24,717.12,1206.72,14SKQAYJ,B00XOOPMF2,143.42,14SKQAYJB00XOOPMF2,14SKQAYJ,B00XOOPMF2,0,24,0,0,0,,0,,29.88,24,0,717.12,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3638,2023-11-27,6429-801766995,34790.4,Promotions ,14SKQAYJB00XOOPMF2,24,717.12,1206.72,14SKQAYJ,B00XOOPMF2,143.42,14SKQAYJB00XOOPMF2,14SKQAYJ,B00XOOPMF2,0,24,0,0,0,,0,,29.88,24,0,717.12,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
3639,2023-11-27,6429-801766995,34790.4,Promotions ,14SKQAYJB07KQZNGJ3,54,874.8,1131.3,14SKQAYJ,B07KQZNGJ3,174.96,14SKQAYJB07KQZNGJ3,14SKQAYJ,B07KQZNGJ3,0,162,0,0,0,,0,,16.2,54,0,874.8,Invalid,Valid,Valid,,Invalid,Invalid,0,Quantity deducted is higher than received quantity
