Payment Number,Invoice Number,Invoice Date,Description,Invoice Amount,Invoice Currency,Withholding Amount,Terms Discount Taken,Amount Paid,Remaining Amount,Payment Date,Payment Amount,Deduction/Repayment/ Invoice Payment,Reason Code,Sub Reason Code,ABS,Deduction Year,Inv,A
279532311,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$4,877.78 ","-$13,58,562.61",11/1/2023,$0.00 ,Deduction,Promotions,Co-op,"$4,877.78 ",2023,6429-801766995,59960910
279684610,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$43,308.36 ","-$11,22,326.29",11/1/2023,$0.00 ,Deduction,Promotions,Co-op,"$43,308.36 ",2023,6429-801766995,59960910
279766156,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$1,30,080.86","-$11,22,326.29",11/2/2023,$0.00 ,Deduction,Promotions,Co-op,"$1,30,080.86",2023,6429-801766995,59960910
279799480,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$2,002.90 ","-$11,22,326.29",11/3/2023,$0.00 ,Deduction,Promotions,Co-op,"$2,002.90 ",2023,6429-801766995,59960910
279816738,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$17,634.39 ","-$11,22,326.29",11/3/2023,$0.00 ,Deduction,Promotions,Co-op,"$17,634.39 ",2023,6429-801766995,59960910
279827574,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$65,529.95 ","-$11,22,326.29",11/4/2023,$0.00 ,Deduction,Promotions,Co-op,"$65,529.95 ",2023,6429-801766995,59960910
279827574,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$65,529.95 ","-$10,71,960.37",11/4/2023,$0.00 ,Deduction,Promotions ,Co-op,"$65,529.95 ",2023,6429-801766995,59960910
279810642,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$20,988.22 ","-$11,22,326.29",11/6/2023,$0.00 ,Deduction,Promotions ,Co-op,"$20,988.22 ",2023,6429-801766995,59960910
279927030,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$39,723.50 ","-$10,59,555.67",11/6/2023,$0.00 ,Deduction,Promotions ,Co-op,"$39,723.50 ",2023,6429-801766995,59960910
279976904,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$2,873.48 ","-$10,59,555.67",11/7/2023,$0.00 ,Deduction,Promotions ,Co-op,"$2,873.48 ",2023,6429-801766995,59960910
280119776,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$7,768.94 ",$0.00 ,11/8/2023,$0.00 ,Deduction,Promotions ,Co-op,"$7,768.94 ",2023,6429-801766995,59960910
280134137,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$12,387.16 ",$0.00 ,11/8/2023,$0.00 ,Deduction,Promotions ,Co-op,"$12,387.16 ",2023,6429-801766995,59960910
280182160,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,$17.54 ,$0.00 ,11/9/2023,$0.00 ,Deduction,Promotions ,Co-op,$17.54 ,2023,6429-801766995,59960910
280251634,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$3,02,203.29 ","-$7,57,352.38",11/10/2023,$0.00 ,Deduction,Promotions ,Co-op,"$3,02,203.29 ",2023,6429-801766995,59960910
280335559,6429-817076765-IT,11/7/2023,Co-op-59963980-6429-817076765,"-$1,00,638.43",USD,$0.00 ,$0.00 ,"$58,713.10 ",$0.00 ,11/13/2023,$0.00 ,Deduction,Promotions ,Co-op,"$58,713.10 ",2023,6429-817076765-IT,59963980
280335559,6429-817062945-IT,11/7/2023,Co-op-59962165-6429-817062945,"($88,561.82)",USD,$0.00 ,$0.00 ,"$18,755.60 ",$0.00 ,11/13/2023,$0.00 ,Deduction,Promotions ,Co-op,"$18,755.60 ",2023,6429-817062945-IT,59962165
280425753,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$40,394.45 ",$0.00 ,11/14/2023,$0.00 ,Deduction,Promotions ,Co-op,"$40,394.45 ",2023,6429-801766995,59960910
280393232,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$8,762.20 ",$0.00 ,11/14/2023,$0.00 ,Deduction,Promotions ,Co-op,"$8,762.20 ",2023,6429-801766995,59960910
280393234,6429-817075430-IT,11/7/2023,Co-op-59964045-6429-817075430,"-$1,00,638.43",USD,$0.00 ,$0.00 ,"$13,412.00 ",$0.00 ,11/14/2023,$0.00 ,Deduction,Promotions ,Co-op,"$13,412.00 ",2023,6429-817075430-IT,59964045
280325804,6429-817062945-IT,11/7/2023,Co-op-59962165-6429-817062945,"($88,561.82)",USD,$0.00 ,$0.00 ,"$69,806.22 ",$0.00 ,11/14/2023,$0.00 ,Deduction,Promotions ,Co-op,"$69,806.22 ",2023,6429-817062945-IT,59962165
280496131,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$52,125.96 ",$0.00 ,11/15/2023,$0.00 ,Deduction,Promotions ,Co-op,"$52,125.96 ",2023,6429-801766995,59960910
280487506,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,$272.19 ,$0.00 ,11/16/2023,$0.00 ,Deduction,Promotions ,Co-op,$272.19 ,2023,6429-801766995,59960910
280543716,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,$480.15 ,"-$1,48,978.31",11/16/2023,$0.00 ,Deduction,Promotions ,Co-op,$480.15 ,2023,6429-801766995,59960910
280577914,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$2,721.60 ",$0.00 ,11/17/2023,$0.00 ,Deduction,Promotions ,Co-op,"$2,721.60 ",2023,6429-801766995,59960910
280592397,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$39,151.66 ","-$1,48,978.31",11/17/2023,$0.00 ,Deduction,Promotions ,Co-op,"$39,151.66 ",2023,6429-801766995,59960910
280591771,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$68,358.30 ","-$1,48,978.31",11/17/2023,$0.00 ,Deduction,Promotions ,Co-op,"$68,358.30 ",2023,6429-801766995,59960910
280603898,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,$679.50 ,"($75,563.31)",11/18/2023,$0.00 ,Deduction,Promotions ,Co-op,$679.50 ,2023,6429-801766995,59960910
280609501,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$52,476.37 ","($75,563.31)",11/18/2023,$0.00 ,Deduction,Promotions ,Co-op,"$52,476.37 ",2023,6429-801766995,59960910
280618116,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$2,46,316.31 ","($75,550.71)",11/19/2023,$0.00 ,Deduction,Promotions ,Co-op,"$2,46,316.31 ",2023,6429-801766995,59960910
280632814,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$63,574.24 ","($75,550.71)",11/19/2023,$0.00 ,Deduction,Promotions ,Co-op,"$63,574.24 ",2023,6429-801766995,59960910
280583954,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$33,061.14 ",$0.00 ,11/20/2023,$0.00 ,Deduction,Promotions ,Co-op,"$33,061.14 ",2023,6429-801766995,59960910
280620896,6429-817075430-IT,11/7/2023,Co-op-59964045-6429-817075430,"-$1,00,638.43",USD,$0.00 ,$0.00 ,"$1,010.58 ","($73,795.87)",11/20/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,010.58 ",2023,6429-817075430-IT,59964045
281854910,6429-817075430-IT,11/7/2023,Co-op-59964045-6429-817075430,"-$1,00,638.43",USD,$0.00 ,$0.00 ,"$12,419.98 ","($7,767.69)",11/20/2023,$0.00 ,Deduction,Promotions ,Co-op,"$12,419.98 ",2023,6429-817075430-IT,59964045
282046658,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$2,793.61 ","($75,550.71)",11/21/2023,$0.00 ,Deduction,Promotions ,Co-op,"$2,793.61 ",2023,6429-801766995,59960910
282111115,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$21,143.92 ","($4,172.50)",11/21/2023,$0.00 ,Deduction,Promotions ,Co-op,"$21,143.92 ",2023,6429-801766995,59960910
282077670,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,$63.00 ,"($4,172.50)",11/21/2023,$0.00 ,Deduction,Promotions ,Co-op,$63.00 ,2023,6429-801766995,59960910
282172189,6429-817075430-IT,11/7/2023,Co-op-59964045-6429-817075430,"-$1,00,638.43",USD,$0.00 ,$0.00 ,"$28,882.94 ",$0.00 ,11/22/2023,$0.00 ,Deduction,Promotions ,Co-op,"$28,882.94 ",2023,6429-817075430-IT,59964045
282172170,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$48,051.39 ",$0.00 ,11/22/2023,$0.00 ,Deduction,Promotions ,Co-op,"$48,051.39 ",2023,6429-801766995,59960910
282163748,6429-817075430-IT,11/7/2023,Co-op-59964045-6429-817075430,"-$1,00,638.43",USD,$0.00 ,$0.00 ,$124.80 ,"($7,767.69)",11/23/2023,$0.00 ,Deduction,Promotions ,Co-op,$124.80 ,2023,6429-817075430-IT,59964045
282163728,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$1,363.08 ","($4,172.50)",11/23/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,363.08 ",2023,6429-801766995,59960910
282208631,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,$12.60 ,"($4,172.50)",11/23/2023,$0.00 ,Deduction,Promotions ,Co-op,$12.60 ,2023,6429-801766995,59960910
282224355,6429-817075430-IT,11/7/2023,Co-op-59964045-6429-817075430,"-$1,00,638.43",USD,$0.00 ,$0.00 ,"$37,020.44 ",$0.00 ,11/23/2023,$0.00 ,Deduction,Promotions ,Co-op,"$37,020.44 ",2023,6429-817075430-IT,59964045
282224355,6429-817076765-IT,11/7/2023,Co-op-59963980-6429-817076765,"-$1,00,638.43",USD,$0.00 ,$0.00 ,"$41,925.33 ",$0.00 ,11/23/2023,$0.00 ,Deduction,Promotions ,Co-op,"$41,925.33 ",2023,6429-817076765-IT,59963980
282285903,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$1,325.55 ",$0.00 ,11/24/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,325.55 ",2023,6429-801766995,59960910
282286513,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$35,262.26 ",$0.00 ,11/24/2023,$0.00 ,Deduction,Promotions ,Co-op,"$35,262.26 ",2023,6429-801766995,59960910
282306264,6429-817586710,11/7/2023,Co-op-66275735-6429-817586710,($6.60),USD,$0.00 ,$0.00 ,$6.60 ,$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,$6.60 ,2023,6429-817586710,66275735
282306264,6408-815753055,11/7/2023,Co-op-60160930-6408-815753055,"($23,940.37)",USD,$0.00 ,$0.00 ,"$20,264.41 ",$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$20,264.41 ",2023,6408-815753055,60160930
282306264,6429-817698365,11/7/2023,Co-op-66397300-6429-817698365,($987.52),USD,$0.00 ,$0.00 ,$987.52 ,$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,$987.52 ,2023,6429-817698365,66397300
282306264,6408-816157455,11/9/2023,Co-op-58730410-6408-816157455,"($1,504.83)",USD,$0.00 ,$0.00 ,"$1,504.83 ",$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,504.83 ",2023,6408-816157455,58730410
282306264,6408-816157665,11/9/2023,Co-op-58730405-6408-816157665,"($10,249.44)",USD,$0.00 ,$0.00 ,"$10,249.44 ",$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$10,249.44 ",2023,6408-816157665,58730405
282306264,6408-816157620,11/10/2023,Co-op-58730395-6408-816157620,"($20,520.32)",USD,$0.00 ,$0.00 ,"$20,520.32 ",$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$20,520.32 ",2023,6408-816157620,58730395
282306264,6429-814186810,11/10/2023,Co-op-58713135-6429-814186810,"($18,470.57)",USD,$0.00 ,$0.00 ,"$18,470.57 ",$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$18,470.57 ",2023,6429-814186810,58713135
282305723,6408-816157405-IT,11/8/2023,Co-op-58730385-6408-816157405,"-$1,39,765.05",USD,$0.00 ,$0.00 ,"$1,17,145.07 ",$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,17,145.07 ",2023,6408-816157405-IT,58730385
282305723,6429-817075430-IT,11/7/2023,Co-op-59964045-6429-817075430,"-$1,00,638.43",USD,$0.00 ,$0.00 ,"$7,767.69 ",$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$7,767.69 ",2023,6429-817075430-IT,59964045
282305722,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$4,172.50 ",$0.00 ,11/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$4,172.50 ",2023,6429-801766995,59960910
282341262,6408-815753055,11/7/2023,Co-op-60160930-6408-815753055,"($23,940.37)",USD,$0.00 ,$0.00 ,"$3,675.96 ",$0.00 ,11/26/2023,$0.00 ,Deduction,Promotions ,Co-op,"$3,675.96 ",2023,6408-815753055,60160930
282341262,6429-815472330,11/7/2023,Co-op-59057345-6429-815472330,"($61,448.25)",USD,$0.00 ,$0.00 ,"$52,865.97 ",$0.00 ,11/26/2023,$0.00 ,Deduction,Promotions ,Co-op,"$52,865.97 ",2023,6429-815472330,59057345
282341262,6429-815376275,11/10/2023,Co-op-60094370-6429-815376275,"($40,096.81)",USD,$0.00 ,$0.00 ,"$40,096.81 ",$0.00 ,11/26/2023,$0.00 ,Deduction,Promotions ,Co-op,"$40,096.81 ",2023,6429-815376275,60094370
282341746,6429-815882325,11/7/2023,Co-op-60185275-6429-815882325,"($64,672.28)",USD,$0.00 ,$0.00 ,"$24,508.30 ",$0.00 ,11/26/2023,$0.00 ,Deduction,Promotions ,Co-op,"$24,508.30 ",2023,6429-815882325,60185275
282341746,6429-815472330,11/7/2023,Co-op-59057345-6429-815472330,"($61,448.25)",USD,$0.00 ,$0.00 ,"$8,582.28 ",$0.00 ,11/26/2023,$0.00 ,Deduction,Promotions ,Co-op,"$8,582.28 ",2023,6429-815472330,59057345
282275535,6429-801766995,10/6/2023,Co-op-59960910-6429-801766995,"-$16,49,891.63",USD,$0.00 ,$0.00 ,"$34,790.40 ",$0.00 ,11/27/2023,$0.00 ,Deduction,Promotions ,Co-op,"$34,790.40 ",2023,6429-801766995,59960910
282362903,6429-815882325,11/7/2023,Co-op-60185275-6429-815882325,"($64,672.28)",USD,$0.00 ,$0.00 ,$2.15 ,$0.00 ,11/27/2023,$0.00 ,Deduction,Promotions ,Co-op,$2.15 ,2023,6429-815882325,60185275
282385766,6429-815882325,11/7/2023,Co-op-60185275-6429-815882325,"($64,672.28)",USD,$0.00 ,$0.00 ,"$40,161.83 ",$0.00 ,11/27/2023,$0.00 ,Deduction,Promotions ,Co-op,"$40,161.83 ",2023,6429-815882325,60185275
282385768,6408-815760185-IT,11/9/2023,Co-op-60161190-6408-815760185,"-$1,63,059.22",USD,$0.00 ,$0.00 ,"$31,935.66 ","($78,292.77)",11/27/2023,$0.00 ,Deduction,Promotions ,Co-op,"$31,935.66 ",2023,6408-815760185-IT,60161190
282385768,6408-816157405-IT,11/8/2023,Co-op-58730385-6408-816157405,"-$1,39,765.05",USD,$0.00 ,$0.00 ,"$22,619.98 ",$0.00 ,11/27/2023,$0.00 ,Deduction,Promotions ,Co-op,"$22,619.98 ",2023,6408-816157405-IT,58730385
282472308,6408-815760185-IT,11/9/2023,Co-op-60161190-6408-815760185,"-$1,63,059.22",USD,$0.00 ,$0.00 ,"$41,379.78 ","($78,292.77)",11/28/2023,$0.00 ,Deduction,Promotions ,Co-op,"$41,379.78 ",2023,6408-815760185-IT,60161190
282507829,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$1,44,896.25 ","-$15,24,598.38",11/28/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,44,896.25 ",2023,6429-817059700,59960910
282567738,6408-815760185-IT,11/9/2023,Co-op-60161190-6408-815760185,"-$1,63,059.22",USD,$0.00 ,$0.00 ,"$6,032.54 ","($78,292.77)",11/29/2023,$0.00 ,Deduction,Promotions ,Co-op,"$6,032.54 ",2023,6408-815760185-IT,60161190
282567891,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$1,451.79 ","-$17,61,339.27",11/29/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,451.79 ",2023,6429-817059700,59960910
282573448,6408-815760185-IT,11/9/2023,Co-op-60161190-6408-815760185,"-$1,63,059.22",USD,$0.00 ,$0.00 ,"$5,418.47 ","($78,292.77)",11/29/2023,$0.00 ,Deduction,Promotions ,Co-op,"$5,418.47 ",2023,6408-815760185-IT,60161190
282588349,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$1,03,313.89 ","-$15,24,598.38",11/29/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,03,313.89 ",2023,6429-817059700,59960910
282606636,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$293.21 ,"-$16,80,114.33",11/30/2023,$0.00 ,Deduction,Promotions ,Co-op,$293.21 ,2023,6429-817059700,59960910
280181503,6429-817703160,11/8/2023,Co-op-66398440-6429-817703160,($69.08),USD,$0.00 ,$0.00 ,$69.08 ,$0.00 ,11/9/2023,"$1,171.69 ",Deduction,Promotions ,Co-op,$69.08 ,2023,6429-817703160,66398440
280123011,6429-817678235,11/7/2023,Co-op-66721195-6429-817678235,($507.38),USD,$0.00 ,$0.00 ,$507.38 ,$0.00 ,11/9/2023,"$43,536.69 ",Deduction,Promotions ,Co-op,$507.38 ,2023,6429-817678235,66721195
280123011,6429-817676770,11/8/2023,Co-op-66721200-6429-817676770,($733.39),USD,$0.00 ,$0.00 ,$733.39 ,$0.00 ,11/9/2023,"$43,536.69 ",Deduction,Promotions ,Co-op,$733.39 ,2023,6429-817676770,66721200
280187136,6429-814079920,11/9/2023,Co-op-58689720-6429-814079920,"($35,571.78)",USD,$0.00 ,$0.00 ,$42.66 ,$0.00 ,11/10/2023,$0.00 ,Deduction,Promotions ,Co-op,$42.66 ,2023,6429-814079920,58689720
280233490,6429-814079920,11/9/2023,Co-op-58689720-6429-814079920,"($35,571.78)",USD,$0.00 ,$0.00 ,"$35,529.12 ",$0.00 ,11/10/2023,"$8,409.62 ",Deduction,Promotions ,Co-op,"$35,529.12 ",2023,6429-814079920,58689720
280121370,6429-812980345,11/7/2023,Co-op-58356695-6429-812980345,"($79,841.99)",USD,$0.00 ,$0.00 ,"$79,841.99 ",$0.00 ,11/9/2023,"$39,502.27 ",Deduction,Promotions ,Co-op,"$79,841.99 ",2023,6429-812980345,58356695
280270321,6429-817572235,11/10/2023,Co-op-65880900-6429-817572235,"($3,036.80)",USD,$0.00 ,$0.00 ,"$3,036.80 ",$0.00 ,11/11/2023,$0.00 ,Deduction,Promotions ,Co-op,"$3,036.80 ",2023,6429-817572235,65880900
280270321,6429-814041045,11/10/2023,Co-op-58681560-6429-814041045,"-$1,19,523.93",USD,$0.00 ,$0.00 ,$527.08 ,$0.00 ,11/11/2023,$0.00 ,Deduction,Promotions ,Co-op,$527.08 ,2023,6429-814041045,58681560
280282422,6429-814041045,11/10/2023,Co-op-58681560-6429-814041045,"-$1,19,523.93",USD,$0.00 ,$0.00 ,"$92,455.57 ",$0.00 ,11/12/2023,$0.00 ,Deduction,Promotions ,Co-op,"$92,455.57 ",2023,6429-814041045,58681560
280318443,6429-814041045,11/10/2023,Co-op-58681560-6429-814041045,"-$1,19,523.93",USD,$0.00 ,$0.00 ,"$26,541.28 ",$0.00 ,11/13/2023,"$96,019.45 ",Deduction,Promotions ,Co-op,"$26,541.28 ",2023,6429-814041045,58681560
282620813,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$919.80 ,"-$15,24,598.38",12/1/2023,$0.00 ,Deduction,Promotions ,Co-op,$919.80 ,2023,6429-817059700,59960910
282750673,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$554.40 ,"-$15,24,598.38",12/1/2023,$0.00 ,Deduction,Promotions ,Co-op,$554.40 ,2023,6429-817059700,59960910
282756395,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$7,587.31 ","-$15,24,598.38",12/1/2023,$0.00 ,Deduction,Promotions ,Co-op,"$7,587.31 ",2023,6429-817059700,59960910
