PO,Vendor,Ship to location,ASIN,External ID,Model Number,Title,Availability,Window Type,Window Start,Window End,Expected Date,Case Size,Quantity Requested,Accepted Quantity,Quantity received,Quantity Outstanding,Case Cost,Total Cost,External Id Type,Backordered
8UGMWOWO,HONBV,"IGQ2 - University Park, IL",B08GB3NL93,6.57623E+11,6.57623E+11,"Honest Tea Lori's Lemon Tea, 59 Fl Oz Bottles (Pack Of 8), Lori's Lemon Tea, 59 Fl Oz (Pack of 8)",Accepted: EDI Only,Delivery window (Prepaid),1/30/2023,2/6/2023,3/3/2023,1,12,12,40,0,21,252,,
8UGMWOWO,HONBV,"IGQ2 - University Park, IL",B01BLAW4O2,6.57622E+11,6.57622E+11,"Honest Kids Goodness Grapeness, 59 Ounce (Pack of 8)",,Delivery window (Prepaid),1/30/2023,2/6/2023,1/30/2023,1,13,0,0,0,24.62,0,,
8UGMWOWO,HONBV,"IGQ2 - University Park, IL",B00YEOENEC,6.57622E+11,6.57622E+11,"Honest Tea Half Tea and Half Lemonade, 59 Fl Oz (Pack of 8)",Accepted: EDI Only,Delivery window (Prepaid),1/30/2023,2/6/2023,3/6/2023,1,83,83,40,0,21,1743,,
8S5NPPBW,HONBV,"GSP1 - Spartanburg, SC",B08GB3NL93,6.57623E+11,6.57623E+11,"Honest Tea Lori's Lemon Tea, 59 Fl Oz Bottles (Pack Of 8), Lori's Lemon Tea, 59 Fl Oz (Pack of 8)",Accepted: EDI Only,Delivery window (Prepaid),1/30/2023,2/3/2023,2/3/2023,1,13,13,32,0,21,273,,
8S5NPPBW,HONBV,"GSP1 - Spartanburg, SC",B08G9ZYDB4,6.57623E+11,6.57623E+11,"Honest Tea Just Green Tea, 59 Fl Oz Bottles (Pack of 8)",Accepted: EDI Only,Delivery window (Prepaid),1/30/2023,2/3/2023,3/4/2023,1,26,26,26,0,21,546,,
8S5NPPBW,HONBV,"GSP1 - Spartanburg, SC",B01BLAW4O2,6.57622E+11,6.57622E+11,"Honest Kids Goodness Grapeness, 59 Ounce (Pack of 8)",,Delivery window (Prepaid),1/30/2023,2/3/2023,1/30/2023,1,69,0,50,0,24.62,0,,
8RTVKWUT,HONBV,"LGB8 - Rialto, CA",B08HKGRVLP,6.57622E+11,6.57622E+11,"Honest Kids Super Fruit Punch, Organic Juice Drink, 6 Fl oz Juice Boxes, 6 Fl Oz (Pack of 40)",Accepted: EDI Only,Delivery window (Prepaid),1/30/2023,2/2/2023,2/4/2023,1,434,434,434,0,14.5,6293,,
8RTVKWUT,HONBV,"LGB8 - Rialto, CA",B08HKG5X58,6.57623E+11,6.57623E+11,"Honest Kids Berry Good Lemonade, Organic Juice Drink, 6 Fl oz Juice Boxes, Pack Of 40, Berry Lemonade, 6 Fl Oz (Pack of 40)",Accepted: EDI Only,Delivery window (Prepaid),1/30/2023,2/2/2023,2/25/2023,1,231,231,40,0,14.5,3349.5,,
8RTVKWUT,HONBV,"LGB8 - Rialto, CA",B08HKG49HK,6.57622E+11,6.57622E+11,"Honest Kids Appley Ever After, Organic Juice Drink, 6 Fl oz Juice Boxes, Pack Of 40, Apple, 6 Fl Oz (Pack of 40)",Accepted: EDI Only,Delivery window (Prepaid),1/30/2023,2/2/2023,2/5/2023,1,988,988,989,0,14.5,14326,,
8RTVKWUT,HONBV,"LGB8 - Rialto, CA",B08HKCX67G,6.57623E+11,6.57623E+11,"Honest Kids Strawberry Peachy, Organic Juice Drink, 6 Fl oz Juice Boxes, Pack Of 40, Strawberry Peach, 6 Fl Oz (Pack of 40)",Accepted: EDI Only,Delivery window (Prepaid),1/30/2023,2/2/2023,2/17/2023,1,2,2,0,0,14.5,29,,
