Receive Date,Return Date,Invoice Day,Transaction Type,Quantity,Net Receipts,Net Receipts Currency,List Price,List Price Currency,Rebate In Agreement Currency,Agreement Currency,Rebate In Purchase Order Currency,Purchase Order Currency,Purchase Order,Asin,UPC,EAN,Manufacturer,Distributor,Product Group,Category,Subcategory,Title,Product Description,Binding,Cost Currency,Old Cost,New Cost,Price Protection Agreement,Price Protection Day,Cost Variance,Invoice,Multi-Country Parent Agreement ID,Invoice ID,,,
02-09-2023,,,Distributor Shipment,54,806.76,USD,"1,357.56",USD,161.35,USD,161.35,USD,6ZTZDZZX,B09KY6WGDS,24100000227,24100000227,KEBF9,P***9,325,32504000,32504002,Cheez-It Puff'd Double Cheese 3oz 6ct,,unknown_binding,,,,,,,,,6429-801766995,,,
04-09-2023,,,Distributor Shipment,"3,456","43,545.60",USD,"52,496.64",USD,"8,709.12",USD,"8,709.12",USD,3X5N46LL,B078D7MGY5,38000182587,38000182587,KEBF9,0***N,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, On-the-Go Snacks, Snack Stacks, Variety Pack, 19.3oz Box (27 Cups)​​",,grocery,,,,,,,,,6429-801766995,,,
05-09-2023,,,Distributor Shipment,444,"5,643.24",USD,"5,643.24",USD,"1,128.65",USD,"1,128.65",USD,3G71JEFD,B09LRFWV7N,38000273735,38000273728,KEPXO,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Variety Pack (16 Cans)",,grocery,,,,,,,,,6429-801766995,,,
24-08-2023,,16-06-2023,Cost Variance Distributor Shipment,4,,,,,-0.01,USD,-0.01,USD,3NFW34HK,B0BFZMYY8J,,,CHR4B,C***B,325,32502500,32500844,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Mixed Berry (6 Boxes, 30 Bars)",,unknown_binding,,,,,,-0.04,810928164,,6429-801766995,,,
06-09-2023,,,Distributor Shipment,21,266.91,USD,266.91,USD,53.38,USD,53.38,USD,3G71JEFD,B09LRFWV7N,38000273735,38000273728,KEPXO,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Variety Pack (16 Cans)",,grocery,,,,,,,,,6429-801766995,,,
09-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,3G71JEFD,B09LRFWV7N,38000273735,38000273728,KEPXO,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Variety Pack (16 Cans)",,grocery,,,,,,,,,6429-801766995,,,
19-09-2023,,,Distributor Shipment,32,511.04,USD,575.68,USD,102.21,USD,102.21,USD,5AH3342G,B07TR6YVJL,,,KEUB1,7***G,325,32504000,32504002,"Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Variety Pack (45 Packs)",,unknown_binding,,,,,,,,,6429-801766995,,,
07-09-2023,,,Distributor Shipment,1,12.71,USD,12.71,USD,2.54,USD,2.54,USD,3G71JEFD,B09LRFWV7N,38000273735,38000273728,KEPXO,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Variety Pack (16 Cans)",,grocery,,,,,,,,,6429-801766995,,,
09-09-2023,,,Distributor Shipment,50,"2,262.00",USD,"2,607.50",USD,452.4,USD,452.4,USD,19VMXQSZ,B002DHL976,,,KEBF9,P***9,325,32504000,32504002,"Carr's Table Water Crackers, Original, (200 Count)",,grocery,,,,,,,,,6429-801766995,,,
18-07-2023,,21-06-2023,Cost Variance Distributor Shipment,17,,,,,-0.07,USD,-0.07,USD,5HEQRJTE,B07Q61TRLH,,,CHR4B,C***B,325,32502500,32500849,"RX Nut Butter Peanut Butter, Protein Snack, Lunch Snacks, Honey Cinnamon (2 Jars)",,grocery,,,,,,-0.34,817830306,,6429-801766995,,,
