PO,External ID,Title,ASIN,Model Number,Freight Term,Qty,Unit Cost,Amount,Shortage quantity,Amount shortage,Last received date,ASIN received,Quantity received,Unit cost,Amount received,External Id Type,Backordered,Availability,Window Type,Window Start,Window End,Expected Date,Case Size,Quantity Requested,Quantity Outstanding,Case Cost,Total Cost,Accepted Quantity
3LHVS8VD,8.58E+11,"RXBAR Protein Bars, Protein Snack, Snack Bars, Variety Pack (12 Bars)",B018H3LFJG,RXF306,Collect,"1,320",$25.44 ,"$33,580.80 ",66,"$1,679.04 ",21-10-2023,B018H3LFJG,1254,$25.44 ,"$31,901.76 ",,,,,,,,,,,,,
3LHVS8VD,1.09E+13,"RXBAR Protein Bars, Protein Snack, Snack Bars, Peanut Butter Chocolate, 22Oz Box (12 Bars)",B01M6TK228,RXF010,Collect,246,$24.84 ,"$6,110.64 ",0,$0.00 ,26-10-2023,B01M6TK228,246,$24.84 ,"$6,110.64 ",,,,,,,,,,,,,
3LHVS8VD,1.09E+13,"RX Nut Butter Almond Butter, Protein Snack, Lunch Snacks, Vanilla, 11.3oz Box (10 Packs)",B07D3H4CQF,RXN003,Collect,348,$14.00 ,"$4,872.00 ",0,$0.00 ,14-10-2023,B07D3H4CQF,348,$14.00 ,"$4,872.00 ",,,,,,,,,,,,,
3LHVS8VD,1.94E+11,"RX Nut Butter Peanut Butter, Protein Snack, Lunch Snacks, Chocolate (2 Jars)",B07Q89M576,RXKIT6117,Collect,26,$10.24 ,$266.24 ,0,$0.00 ,10/10/2023,B07Q89M576,26,$10.24 ,$266.24 ,,,,,,,,,,,,,
3LHVS8VD,1.02E+13,"RXBAR Protein Bars, Protein Snack, Snack Bars, Vanilla Almond, 22oz Box (12 Bars)",B07ZQYM8MJ,,Collect,840,$24.84 ,"$20,865.60 ",22,$546.48 ,22-10-2023,B07ZQYM8MJ,818,$24.84 ,"$20,319.12 ",,,,,,,,,,,,,
3LHVS8VD,1.02E+13,"RX Nut Butter Almond Butter, Coconut, Delicious Flavor, 11.3oz Box (10 Count)",B084HJ1T2N,,Collect,24,$14.00 ,$336.00 ,0,$0.00 ,22-10-2023,B084HJ1T2N,24,$14.00 ,$336.00 ,,,,,,,,,,,,,
3LHVS8VD,1.94E+11,"RXBAR Chocolate AM Protein Bar 12 Count, 1.83 OZ",B09KMW172Z,1.94E+11,Collect,162,$24.84 ,"$4,024.08 ",0,$0.00 ,21-10-2023,B09KMW172Z,162,$24.84 ,"$4,024.08 ",,,,,,,,,,,,,
3LHVS8VD,1.94E+11,"RXBAR A.M. Protein Bars, Gluten Free Snacks, Breakfast Snacks, Blueberry, 23.2oz Box (12 Bars)",B09WX8RYGN,RXBAR,Collect,72,$24.84 ,"$1,788.48 ",0,$0.00 ,22-10-2023,B09WX8RYGN,72,$24.84 ,"$1,788.48 ",,,,,,,,,,,,,
3LHVS8VD,1.94E+11,"RXBAR A.M. Protein Bars, Variety Pack, Gluten Free Snacks, Breakfast Snacks, 22.8oz Box (12 Bars)",B09WXF5PJQ,,Collect,186,$25.44 ,"$4,731.84 ",0,$0.00 ,10/10/2023,B09WXF5PJQ,186,$25.44 ,"$4,731.84 ",,,,,,,,,,,,,
3LHVS8VD,1.02E+13,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Mixed Berry (6 Boxes, 30 Bars)",B0BFZMYY8J,,Collect,14,$53.40 ,$747.60 ,0,$0.00 ,21-10-2023,B0BFZMYY8J,14,$53.40 ,$747.60 ,,,,,,,,,,,,,
3LHVS8VD,1.94E+11,"RXBAR A.M. Protein Bars, Gluten Free Snacks, Breakfast Snacks, Chocolate (6 Boxes, 30 Bars)",B0BG8NN27Y,,Collect,12,$53.40 ,$640.80 ,0,$0.00 ,21-10-2023,B0BG8NN27Y,12,$53.40 ,$640.80 ,,,,,,,,,,,,,
3LHVS8VD,1.94E+11,"RXBAR A.M. Protein Bars, Gluten Free Snacks, Breakfast Snacks, Honey Cinnamon Peanut Butter (6 Boxes, 30 Bars)",B0BG8NTZWD,,Collect,3,$53.40 ,$160.20 ,0,$0.00 ,21-10-2023,B0BG8NTZWD,3,$53.40 ,$160.20 ,,,,,,,,,,,,,
3LHVS8VD,1.94E+11,"RXBAR A.M. Protein Bars, Gluten Free Snacks, Breakfast Snacks, Blueberry (6 Boxes, 30 Bars)",B0BG8P6KNZ,,Collect,21,$53.40 ,"$1,121.40 ",0,$0.00 ,10/10/2023,B0BG8P6KNZ,21,$53.40 ,"$1,121.40 ",,,,,,,,,,,,,
3LHVS8VD,1.09E+13,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Chocolate Chip (6 Boxes, 30 Bars)",B0BHXHND8P,,Collect,27,$53.40 ,"$1,441.80 ",0,$0.00 ,12/10/2023,B0BHXHND8P,27,$53.40 ,"$1,441.80 ",,,,,,,,,,,,,
3LHVS8VD,1.94E+11,"RXBAR A.M. Protein Bars, Variety Pack, Gluten Free Snacks, Breakfast Snacks, 38.8oz Box (20 Bars)",B0BTGMJV79,,Collect,91,$42.40 ,"$3,858.40 ",0,$0.00 ,21-10-2023,B0BTGMJV79,91,$42.40 ,"$3,858.40 ",,,,,,,,,,,,,
3LHVS8VD,1.94E+11,"RXBAR A.M. Protein Bars, Gluten Free Snacks, Breakfast Snacks, Peanut Butter Dark Chocolate (6 Boxes, 30 Bars)",B0BTTTLVXX,,Collect,15,$41.10 ,$616.50 ,0,$0.00 ,21-10-2023,B0BTTTLVXX,15,$41.10 ,$616.50 ,,,,,,,,,,,,,
5K46MGRT,1.09E+13,"RXBAR Protein Bars, Protein Snack, Snack Bars, Coconut Chocolate, 22oz Box (12 Bars)",B0143NQVI4,RXF004,Collect,522,$24.84 ,"$12,966.48 ",13,$322.92 ,20-09-2023,B0143NQVI4,509,$24.84 ,"$12,643.56 ",,,,,,,,,,,,,
5K46MGRT,1.09E+13,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Snack Bars, Peanut Butter, 22oz Box (12 Bars)",B0143NQVP2,RXF003,Collect,684,$24.84 ,"$16,990.56 ",0,$0.00 ,20-09-2023,B0143NQVP2,684,$24.84 ,"$16,990.56 ",,,,,,,,,,,,,
5K46MGRT,1.09E+13,"RXBAR Protein Bars, Protein Snack, Snack Bars, Blueberry, 22Oz Box (12 Bars)",B0143NQW2E,RXF202,Collect,"2,184",$24.84 ,"$54,250.56 ",16,$397.44 ,20-09-2023,B0143NQW2E,2168,$24.84 ,"$53,853.12 ",,,,,,,,,,,,,
5K46MGRT,1.09E+13,"RXBAR Protein Bars, Protein Snack, Snack Bars, Mixed Berry, 12 Count (Pack of 1)",B01M6THM7P,RXF012,Collect,234,$24.84 ,"$5,812.56 ",0,$0.00 ,24-09-2023,B01M6THM7P,234,$24.84 ,"$5,812.56 ",,,,,,,,,,,,,
5K46MGRT,1.09E+13,"RXBAR Protein Bars, Protein Snack, Snack Bars, Peanut Butter Chocolate, 22Oz Box (12 Bars)",B01M6TK228,RXF010,Collect,540,$24.84 ,"$13,413.60 ",4,$99.36 ,20-09-2023,B01M6TK228,536,$24.84 ,"$13,314.24 ",,,,,,,,,,,,,
5K46MGRT,1.09E+13,"RX Nut Butter Almond Butter, Protein Snack, Lunch Snacks, Vanilla, 11.3oz Box (10 Packs)",B07D3H4CQF,RXN003,Collect,822,$14.00 ,"$11,508.00 ",0,$0.00 ,20-09-2023,B07D3H4CQF,822,$14.00 ,"$11,508.00 ",,,,,,,,,,,,,
5K46MGRT,1.09E+13,"RX Nut Butter Peanut Butter, Protein Snack, Lunch Snacks, Honey Cinnamon, 11.3oz Box (10 Packs)",B07D3H9KBM,RXN002,Collect,6,$14.00 ,$84.00 ,0,$0.00 ,2/10/2023,B07D3H9KBM,6,$14.00 ,$84.00 ,,,,,,,,,,,,,
5K46MGRT,1.09E+13,"RXBAR Nut Butter Peanut Butter, Protein Snack, Lunch Snacks, Chocolate, 11.3oz Box (10 Packs)",B07LC7HSZN,RXN006,Collect,30,$14.00 ,$420.00 ,0,$0.00 ,1/10/2023,B07LC7HSZN,30,$14.00 ,$420.00 ,,,,,,,,,,,,,
5K46MGRT,1.94E+11,"RX Nut Butter Peanut Butter, Protein Snack, Lunch Snacks, Honey Cinnamon (2 Jars)",B07Q61TRLH,RXKIT6113,Collect,68,$10.24 ,$696.32 ,5,$51.20 ,25-09-2023,B07Q61TRLH,63,$10.24 ,$645.12 ,,,,,,,,,,,,,
