id,customer_account,customer_name,standard_customer,deduction_reference,invoice_number,deduction_date,deduction_amount,deduction_reason,payment_number,backup_status,invoice_status,bol,pod_status,invalid_amount,valid_amount
9111201402,1001050979,RGH ENTERPRISES INC,RGH ENTERPRISES INC,9111201402,9111201402,5/15/2023,195910.54,OSD,,,,,,,
9111026403,1001073153,FISHER SCIENTIFIC COMPANY,Fisher  ,1401151953,9111026403,5/8/2023,132840,OSD,,,,,,,
9110809243,1001000236,WALMART STORES INC,WALMART STORES INC,9110809243,9110809243,2/21/2023,78775,OSD,,,,,,,
9110909529,1001073153,FISHER SCIENTIFIC COMPANY,Fisher  ,9110909529,9110909529,4/13/2023,40500,OSD,,,,,,,
9110251359,1001000147,Mckesson,Mckesson,1401106812,9110251359,3/7/2023,36811.1,OSD,,,,,,,
9111135793,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401149856,9111135793,5/3/2023,34515.24,OSD,,,,,,,
9111111687,1001073153,FISHER SCIENTIFIC COMPANY,Fisher  ,1401160835,9111111687,5/30/2023,31000,OSD,,,,,,,
9111035646,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401138448,9111035646,4/6/2023,23795.9,OSD,,,,,,,
9110679071,1001000147,Mckesson,Mckesson,1401105204,9110679071,1/17/2023,22680,OSD,,,,,,,
9110703566,1001000147,Mckesson,Mckesson,1401106812,9110703566,1/20/2023,20970.62,OSD,,,,,,,
9111106570,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401145998,9111106570,4/24/2023,19890.14,OSD,,,,,,,
9111356717,1001000147,Mckesson,Mckesson,1401106812,9111356717,7/5/2023,19168.83,OSD,,,,,,,
9110886675,1001000147,Mckesson,Mckesson,1401126127,9110886675,3/7/2023,13133.72,OSD,,,,,,,
9111389448,1001000147,Mckesson,Mckesson,1401177865,9111389448,7/11/2023,12827.24,OSD,,,,,,,
9110883808,1001000147,Mckesson,Mckesson,1401125795,9110883808,3/7/2023,11420.5,OSD,,,,,,,
9110703805,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401114398,9110703805,2/8/2023,10499.32,OSD,,,,,,,
9110881402,1001073153,FISHER SCIENTIFIC COMPANY,Fisher  ,9110881402,9110881402,3/31/2023,7546.94,OSD,,,,,,,
9110655761,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401099940,9110655761,1/4/2023,7526.44,OSD,,,,,,,
9110887470,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401123483,9110887470,3/2/2023,7526.44,OSD,,,,,,,
9111116862,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401146899,9111116862,4/26/2023,7526.44,OSD,,,,,,,
9110703938,1001000147,Mckesson,Mckesson,1401106812,9110703938,1/20/2023,6991.6,OSD,,,,,,,
9110503853,1001000147,Mckesson,Mckesson,1600536780,9110503853,4/4/2023,6852.24,OSD,,,,,,,
