id,invoice_number,sku,deducted_amount,deducted_qty,deducted_price_per_qty,deduction_date,invoice_location,reason_code,sub_reason_code,deduction_reason,
9111763392,9111763392,4292272,"14,691.60",22,667.8,10/17/2023,,OSD,,OSD, 
9111896038,9111896038,515079,"3,030.00",4,757.5,11/16/2023,,OSD,,OSD,
9111896038,9111896038,B2951-96,1316.34,3,438.78,11/16/2023,,OSD,,OSD,
9112040261,9112040261,256041,"3,238.18",11,294.38,12/13/2023,,OSD,,OSD,
9112025789,9112025789,305837,520.8,2,260.4,12/26/2023,,OSD,,OSD,
9112025789,9112025789,302830,201.6,3,67.2,12/26/2023,,OSD,,OSD,
9112025789,9112025789,309646,130,2,65,12/26/2023,,OSD,,OSD,
9112025789,9112025789,309653,"1,075.36",11,97.76,12/26/2023,,OSD,,OSD,
9110624104,9110624104,364957,"4,382.55",45,97.39,12/21/2022,,OSD,,OSD,
9110914265,9110914265,306546,"5,528.64",26,212.64,3/14/2023,,OSD,,OSD,
9110770749,9110770749,320122,"5,040.00",8,630,2/10/2023,,OSD,,OSD,
9111236567,9111236567,320122,"4,410.00",7,630,6/2/2023,,OSD,,OSD,
9111743611,9111743611,303345,"1,130.00",5,226,10/12/2023,,OSD,,OSD,
9111743611,9111743611,381434,"31,042.00",83,374,10/12/2023,,OSD,,OSD,
9111345605,9111345605,1758754,119.25,1,119.25,6/29/2023,,OSD,,OSD,
9111345605,9111345605,5536545,667.8,9,6010.2,6/29/2023,,OSD,,OSD,
9111345605,9111345605,2295285,26.64,2,53.28,6/29/2023,,OSD,,OSD,
9111345605,9111345605,4292272,667.8,29,19366.2,6/29/2023,,OSD,,OSD,
9111345605,9111345605,1860949,184.33,2,368.66,6/29/2023,,OSD,,OSD,
9111345605,9111345605,4569679,184.33,1,184.33,6/29/2023,,OSD,,OSD,
9111345605,9111345605,2487239,184.33,3,552.99,6/29/2023,,OSD,,OSD,
9111345605,9111345605,2487247,184.33,3,552.99,6/29/2023,,OSD,,OSD,
9111345605,9111345605,2760312,667.8,9,4674.6,6/29/2023,,OSD,,OSD,
9111437671,9111437671,930815,23847.09,107,222.87,7/21/2023,,OSD,,OSD,
9111936901,9111936901,ST218101,6968.7,2.7,2581,11/16/2023,,OSD,,OSD,
9112024495,9112024495,MP5301-C,6560,64,102.5,12/11/2023,,OSD,,OSD,
9110704654,9110704654,306544,4861.44,24,202.56,1/9/2023,,OSD,,OSD,
9111455579,9111455579,930299,1782.8,4,445.7,7/17/2023,,OSD,,OSD,
9111803776,9111803776,671934,"1,545.60",6,257.6,10/19/2023,,OSD,,OSD,
9110590584,9110590584,30654678,"26,409.60",120,220.08,1/20/2023,,OSD,,OSD,
9111465279,9111465279,305197,141,1,141,8/25/2023,,OSD,,OSD,
9111465279,9111465279,328466,"16,859.75",85,198.35,8/25/2023,,OSD,,OSD,
9111465279,9111465279,329515,"1,356.00",2,678,8/25/2023,,OSD,,OSD,
9111753286,9111753286,365974,635.92,4,158.98,11/8/2023,,OSD,,OSD,
9111753286,9111753286,367281,"1,136.16",4,284.04,11/8/2023,,OSD,,OSD,
9111753286,9111753286,367290,"3,406.80",3,1135.6,11/8/2023,,OSD,,OSD,
9111753286,9111753286,367324,"7,490.16",18,416.12,11/8/2023,,OSD,,OSD,
9110057732,9110057732,4403A,"2,508.00",22,114,8/18/2023,,OSD,,OSD,
9110057732,9110057732,4406,"2,260.65",15,150.71,8/18/2023,,OSD,,OSD,
9110057732,9110057732,4412A,"3,628.80",14,259.2,8/18/2023,,OSD,,OSD,
9111563547,9111563547,4403A,684,6,114,8/24/2023,,OSD,,OSD,
9111563547,9111563547,4406,"3,767.75",25,150.71,8/24/2023,,OSD,,OSD,
9111563547,9111563547,4412A,259.2,1,259.2,8/24/2023,,OSD,,OSD,
9111563547,9111563547,930299,53484,120,445.7,8/24/2023,,OSD,,OSD,
9111563547,9111563547,930400,"9,495.36",72,131.88,8/24/2023,,OSD,,OSD,
9111563547,9111563547,930725,"2,911.80",6,485.3,8/24/2023,,OSD,,OSD,
9111563547,9111563547,930815,"40,116.60",180,222.87,8/24/2023,,OSD,,OSD,
9111563547,9111563547,960110,390,1,390,8/24/2023,,OSD,,OSD,
9111563547,9111563547,383510,369.6,1,369.6,8/24/2023,,OSD,,OSD,
9111563547,9111563547,260103,400,1,400,8/24/2023,,OSD,,OSD,
9111100570,9111100570,324702,354.42,9,39.38,4/27/2023,,OSD,,OSD,
9111100570,9111100570,324703,165.44,4,41.36,4/27/2023,,OSD,,OSD,
9111100570,9111100570,320122,"18,270.00",29,630,4/27/2023,,OSD,,OSD,
9111100570,9111100570,320749,"15,120.00",24,630,4/27/2023,,OSD,,OSD,
9111100570,9111100570,320119,"28,980.00",46,630,4/27/2023,,OSD,,OSD,
9111100570,9111100570,320109,"47,250.00",75,630,4/27/2023,,OSD,,OSD,
9111618049,9111618049,363083,722.7,3,240.9,9/7/2023,,OSD,,OSD,
9111618049,9111618049,36490200,"2,821.50",15,188.1,9/7/2023,,OSD,,OSD,
9111618049,9111618049,365978,831.2,5,166.24,9/7/2023,,OSD,,OSD,
9111618049,9111618049,367364,442.9,1,442.9,9/7/2023,,OSD,,OSD,
9111618049,9111618049,367365,442.9,1,442.9,9/7/2023,,OSD,,OSD,
9111618049,9111618049,368101,"1,149.24",3,383.08,9/7/2023,,OSD,,OSD,
9111618049,9111618049,371073,"3,264.03",9,362.67,9/7/2023,,OSD,,OSD,
9111618049,9111618049,381423,"1,122.00",3,374,9/7/2023,,OSD,,OSD,
9111618049,9111618049,381534,374,1,374,9/7/2023,,OSD,,OSD,
9111618049,9111618049,383591,"2,041.60",4,510.4,9/7/2023,,OSD,,OSD,
9111618049,9111618049,515078,"1,449.60",3,483.2,9/7/2023,,OSD,,OSD,
9111618049,9111618049,10942011,197.2,2,98.6,9/7/2023,,OSD,,OSD,
9111618049,9111618049,11088483,293,1,293,9/7/2023,,OSD,,OSD,
9111618049,9111618049,11532269,"1,518.00",6,253,9/7/2023,,OSD,,OSD,
9111618049,9111618049,20558E,"1,848.00",7,264,9/7/2023,,OSD,,OSD,
9111618049,9111618049,2477-0007,463,5,92.6,9/7/2023,,OSD,,OSD,
9111618049,9111618049,367342,3411.36,8,426.42,9/7/2023,,OSD,,OSD,
9111618049,9111618049,367344,852.84,2,426.42,9/7/2023,,OSD,,OSD,
9111618049,9111618049,367986,"5,635.00",14,402.5,9/7/2023,,OSD,,OSD,
9111618049,9111618049,367871,"1,187.70",3,395.9,9/7/2023,,OSD,,OSD,
9111592577,9111592577,4406,"1,657.81",11,150.71,8/31/2023,,OSD,,OSD,
9111592577,9111592577,930400,"4,747.68",36,131.88,8/31/2023,,OSD,,OSD,
9111592577,9111592577,930480,190.8,1,190.8,8/31/2023,,OSD,,OSD,
9111592577,9111592577,930715,"2,911.80",6,485.3,8/31/2023,,OSD,,OSD,
9111592577,9111592577,930725,"2,426.50",5,485.3,8/31/2023,,OSD,,OSD,
9111592577,9111592577,930815,"26,744.40",120,222.87,8/31/2023,,OSD,,OSD,
9111592577,9111592577,960120,267.5,2,133.75,8/31/2023,,OSD,,OSD,
9109906873,9109906873,50-7510 ,"5,832.00",9,648,7/18/2022,,OSD,,OSD,
9110809499,9110809499,221353,"3,440.00",43,80,7/12/2023,,OSD,,OSD,
9111172826,9111172826,214010,"3,360.75",15,224.05,7/18/2023,,OSD,,OSD,
9111201402,9111201402,652034,195910.54,95,257.6,5/15/2023,,OSD,,OSD,
9111111687,9111111687,220526,31000,155,200,5/30/2023,,OSD,,OSD,
9111806620,9111806620,50-7510,"171,072.00",264,648,10/24/2023,,OSD,,OSD,
9111806620,9111806620,50-7510,31104,48,648,10/24/2023,,OSD,,OSD,
9111160991,9111160991,256040,2160,24,90,6/20/2023,,OSD,,OSD,
9111026403,9111026403,220531,"132,840.00",738,180,5/8/2023,,OSD,,OSD,
9110909529,9110909529,220220,40500,300,500,4/13/2023,,OSD,,OSD,
9110151120,9110151120,256045,"31,350.00",285,110,11/17/2022,,OSD,,OSD,
9110541475,9110541475,306546,"27,730.08",126,220.08,12/20/2022,,OSD,,OSD,
9110679071,9110679071,320119,"22,680.00",36,630,1/17/2023,,OSD,,OSD,
9110703566,9110703566,324912,347.8,2,173.9,1/20/2023,,OSD,,OSD,
9110703566,9110703566,328418,347.8,2,173.9,1/20/2023,,OSD,,OSD,
9110703566,9110703566,329515,"20,101.12",32,628.16,1/20/2023,,OSD,,OSD,
9110703566,9110703566,328431,173.9,1,173.9,1/20/2023,,OSD,,OSD,
9110886675,9110886675,309657,664,10,66.4,3/7/2023,,OSD,,OSD,
9110886675,9110886675,302832,"1,010.24",11,91.84,3/7/2023,,OSD,,OSD,
9110886675,9110886675,302830,"1,344.00",20,67.2,3/7/2023,,OSD,,OSD,
9110886675,9110886675,309605,"1,678.08",19,88.32,3/7/2023,,OSD,,OSD,
9110886675,9110886675,309653,879.84,9,97.76,3/7/2023,,OSD,,OSD,
9110886675,9110886675,305220,765,10,76.5,3/7/2023,,OSD,,OSD,
9110886675,9110886675,305208,156,2,78,3/7/2023,,OSD,,OSD,
9110886675,9110886675,309643,"1,346.40",11,122.4,3/7/2023,,OSD,,OSD,
9110886675,9110886675,309572,473.6,4,118.4,3/7/2023,,OSD,,OSD,
9110886675,9110886675,305617,514.08,7,73.44,3/7/2023,,OSD,,OSD,
9110886675,9110886675,305487,"3,084.48",28,110.16,3/7/2023,,OSD,,OSD,
9110886675,9110886675,305194,90,1,90,3/7/2023,,OSD,,OSD,
9110886675,9110886675,305197,"1,128.00",8,141,3/7/2023,,OSD,,OSD,
9110883808,9110883808,326895,57.6,3,19.2,3/7/2023,,OSD,,OSD,
9110883808,9110883808,328418,521.7,3,173.9,3/7/2023,,OSD,,OSD,
9110883808,9110883808,328440,173.9,1,173.9,3/7/2023,,OSD,,OSD,
9110883808,9110883808,328468,695.6,4,173.9,3/7/2023,,OSD,,OSD,
9110883808,9110883808,320109,2520,4,630,3/7/2023,,OSD,,OSD,
9110883808,9110883808,328411,347.8,2,173.9,3/7/2023,,OSD,,OSD,
9110883808,9110883808,328466,173.9,1,173.9,3/7/2023,,OSD,,OSD,
9110883808,9110883808,320122,3780,6,630,3/7/2023,,OSD,,OSD,
9110883808,9110883808,320119,630,1,630,3/7/2023,,OSD,,OSD,
9110883808,9110883808,320749,630,1,630,3/7/2023,,OSD,,OSD,
9110883808,9110883808,320550,1890,3,630,3/7/2023,,OSD,,OSD,
9110482481,9110482481,362788,8968.4,7,1281.2,11/18/2022,,OSD,,OSD,
9110881402,9110881402,367281,7546.94,26,284.04,3/31/2023,,OSD,,OSD,
9110887470,9110887470,306546,7526.44,35,212.64,3/2/2023,,OSD,,OSD,
9110703938,9110703938,328468,1565.1,9,173.9,1/20/2023,,OSD,,OSD,
9110703938,9110703938,328466,3304.1,19,173.9,1/20/2023,,OSD,,OSD,
9110703938,9110703938,328278,114.8,1,114.8,1/20/2023,,OSD,,OSD,
9110703938,9110703938,328279,114.8,1,114.8,1/20/2023,,OSD,,OSD,
9110703938,9110703938,328280,1262.8,11,114.8,1/20/2023,,OSD,,OSD,
9110703938,9110703938,320749,630,1,630,1/20/2023,,OSD,,OSD,
9110503853,9110503853,306546,"6,852.24",35,220.08,4/4/2023,,OSD,,OSD,
9111298497,9111298497,324909,6678,10,667.8,6/16/2023,,OSD,,OSD,
9111655498,9111655498,305765,260.4,1,260.4,9/11/2023,,OSD,,OSD,
9111655498,9111655498,366430,1510.4,2,755.2,9/11/2023,,OSD,,OSD,
9111655498,9111655498,10802688,1344,4,336,9/11/2023,,OSD,,OSD,
9111655498,9111655498,MZ1000-07,29760,192,155,9/11/2023,,OSD,,OSD,
9110734812,9110734812,11171447,5392.8,42,128.4,1/17/2023,,OSD,,OSD,
9110734812,9110734812,20022,801.9,3,267.3,1/17/2023,,OSD,,OSD,
9111655498,9111655498,305765,260.4,1,260.4,9/11/2023,,OSD,,OSD,
9111655498,9111655498,366430,1510.4,2,755.2,9/11/2023,,OSD,,OSD,
9111655498,9111655498,10802688,1344,4,336,9/11/2023,,OSD,,OSD,
9111655498,9111655498,MZ1000-07,29760,192,155,9/11/2023,,OSD,,OSD,
9110734812,9110734812,11171447,5392.8,42,128.4,1/17/2023,,OSD,,OSD,
9110734812,9110734812,20022,801.9,3,267.3,1/17/2023,,OSD,,OSD,
9110809243,9110809243,320109,"78,775.00",100,787.75,2/21/2023,,OSD,,OSD,
9111616897,9111616897,304387,465,3,155,9/7/2023,,OSD,,OSD,
9111616897,9111616897,36490200,1692.9,9,188.1,9/7/2023,,OSD,,OSD,
9111616897,9111616897,381444,1122,3,374,9/7/2023,,OSD,,OSD,
9111616897,9111616897,383512,2587.2,7,369.6,9/7/2023,,OSD,,OSD,
9111616897,9111616897,383591,3062.4,6,510.4,9/7/2023,,OSD,,OSD,
9111616897,9111616897,515060,1404,1,1404,9/7/2023,,OSD,,OSD,
9111616897,9111616897,515078,483.2,1,483.2,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305053,369.6,4,92.4,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305060,776,5,155.2,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305064,1425.6,12,118.8,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305198,282,2,141,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305218,382.5,5,76.5,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305436,187.2,2,93.6,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305487,660.96,6,110.16,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305551,5654.4,48,117.8,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305616,1125.12,8,140.64,9/7/2023,,OSD,,OSD,
9111616897,9111616897,305901,155,1,155,9/7/2023,,OSD,,OSD,
9111616897,9111616897,309628,1449.6,4,362.4,9/7/2023,,OSD,,OSD,
9111616897,9111616897,309695,801.6,6,133.6,9/7/2023,,OSD,,OSD,
9111616897,9111616897,383516,5174.4,14,369.6,9/7/2023,,OSD,,OSD,
9111616897,9111616897,306547,15310.08,72,212.64,9/7/2023,,OSD,,OSD,
9111417388,9111417388,4406,4672.01,31,150.71,7/14/2023,,OSD,,OSD,
9111417388,9111417388,5513E ,150,3,50,7/14/2023,,OSD,,OSD,
9111417388,9111417388,930299,8914,20,445.7,7/14/2023,,OSD,,OSD,
9111417388,9111417388,930400,4747.68,36,131.88,7/14/2023,,OSD,,OSD,
9111417388,9111417388,930415,960.05,7,137.15,7/14/2023,,OSD,,OSD,
9111417388,9111417388,930715,9220.7,19,485.3,7/14/2023,,OSD,,OSD,
9111417388,9111417388,930725,970.6,2,485.3,7/14/2023,,OSD,,OSD,
9111417388,9111417388,930815,13372.2,60,222.87,7/14/2023,,OSD,,OSD,
9111417388,9111417388,260103,400,1,400,7/14/2023,,OSD,,OSD,
9112010709,9112010709,306547,4252.8,20,212.64,12/14/2023,,OSD,,OSD,
9112010709,9112010709,303134,248.4,3,82.8,12/14/2023,,OSD,,OSD,
9112010709,9112010709,305609,842,5,168.4,12/14/2023,,OSD,,OSD,
9112010709,9112010709,309657,2390.4,36,66.4,12/14/2023,,OSD,,OSD,
9112010709,9112010709,363083,722.7,3,240.9,12/14/2023,,OSD,,OSD,
9112010709,9112010709,367364,1771.6,4,442.9,12/14/2023,,OSD,,OSD,
9112010709,9112010709,368101,766.16,2,383.08,12/14/2023,,OSD,,OSD,
9112010709,9112010709,368607,1515.36,7,216.48,12/14/2023,,OSD,,OSD,
