id,customer_account,customer_name,standard_customer,deduction_reference,invoice_number,deduction_date,deduction_amount,deduction_reason,payment_number,backup_status,invoice_status,bol,pod_status,invalid_amount,valid_amount
9111201402,1001050979,RGH ENTERPRISES INC,RGH ENTERPRISES INC,9111201402,9111201402,5/15/2023,195910.54,OSD,,,,,,,
9111026403,1001073153,Fisher,Fisher  ,1401151953,9111026403,5/8/2023,132840,OSD,,,,,,,
9110809243,1001000236,WALMART STORES INC,WALMART STORES INC,9110809243,9110809243,2/21/2023,78775,OSD,,,,,,,
9110909529,1001073153,Fisher,Fisher  ,9110909529,9110909529,4/13/2023,40500,OSD,,,,,,,
9110251359,1001000147,Mckesson,Mckesson,1401106812,9110251359,3/7/2023,36811.1,OSD,,,,,,,
9111135793,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401149856,9111135793,5/3/2023,34515.24,OSD,,,,,,,
9111111687,1001073153,Fisher,Fisher  ,1401160835,9111111687,5/30/2023,31000,OSD,,,,,,,
9111035646,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401138448,9111035646,4/6/2023,23795.9,OSD,,,,,,,
9110679071,1001000147,Mckesson,Mckesson,1401105204,9110679071,1/17/2023,22680,OSD,,,,,,,
9110703566,1001000147,Mckesson,Mckesson,1401106812,9110703566,1/20/2023,20970.62,OSD,,,,,,,
9111106570,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401145998,9111106570,4/24/2023,19890.14,OSD,,,,,,,
9111356717,1001000147,Mckesson,Mckesson,1401106812,9111356717,7/5/2023,19168.83,OSD,,,,,,,
9110886675,1001000147,Mckesson,Mckesson,1401126127,9110886675,3/7/2023,13133.72,OSD,,,,,,,
9111389448,1001000147,Mckesson,Mckesson,1401177865,9111389448,7/11/2023,12827.24,OSD,,,,,,,
9110883808,1001000147,Mckesson,Mckesson,1401125795,9110883808,3/7/2023,11420.5,OSD,,,,,,,
9110703805,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401114398,9110703805,2/8/2023,10499.32,OSD,,,,,,,
9110881402,1001073153,Fisher,Fisher  ,9110881402,9110881402,3/31/2023,7546.94,OSD,,,,,,,
9110655761,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401099940,9110655761,1/4/2023,7526.44,OSD,,,,,,,
9110887470,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401123483,9110887470,3/2/2023,7526.44,OSD,,,,,,,
9111116862,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401146899,9111116862,4/26/2023,7526.44,OSD,,,,,,,
9110703938,1001000147,Mckesson,Mckesson,1401106812,9110703938,1/20/2023,6991.6,OSD,,,,,,,
9110503853,1001000147,Mckesson,Mckesson,1600536780,9110503853,4/4/2023,6852.24,OSD,,,,,,,
9110886677,1001000147,Mckesson,Mckesson,1401125795,9110886677,3/7/2023,6844.96,OSD,,,,,,,
9111298497,1001000147,Mckesson,Mckesson,1401168376,9111298497,6/16/2023,6678,OSD,,,,,,,
9110940504,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401129043,9110940504,3/15/2023,6498.56,OSD,,,,,,,
9111401125,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401181630,9111401125,7/20/2023,6073.37,OSD,,,,,,,
9110914265,1001000147,Mckesson,Mckesson,1401128808,9110914265,3/14/2023,5528.64,OSD,,,,,,,
9110851772,1001073153,Fisher,Fisher  ,9110851772,9110851772,4/13/2023,5400,OSD,,,,,,,
9110770749,1001000147,Mckesson,Mckesson,1401115476,9110770749,2/10/2023,5040,OSD,,,,,,,
9111236567,1001000147,Mckesson,Mckesson,1401162833,9111236567,6/2/2023,4410,OSD,,,,,,,
9111014984,1001073153,Fisher,Fisher  ,9111014984,9111014984,4/4/2023,4201.2,OSD,,,,,,,
9111315350,1001000146,HENRY SCHEIN INC,HENRY SCHEIN INC,1401167927,9111315350,6/15/2023,4114,OSD,,,,,,,
9110677622,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401101406,9110677622,1/9/2023,3716.5,OSD,,,,,,,
9111468359,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401184760,9111468359,7/27/2023,3590.49,OSD,,,,,,,
9110809499,1001073153,Fisher,Fisher  ,1401178290,9110809499,7/12/2023,3440,OSD,,,,,,,
9111172826,1001073153,Fisher,Fisher  ,9111172826,9111172826,7/18/2023,3360.75,OSD,,,,,,,
9111332117,1001000147,Mckesson,Mckesson,1401172117,9111332117,6/26/2023,3339,OSD,,,,,,,
9110006336,1001073153,Fisher,Fisher  ,9110006336,9110006336,7/7/2023,3297.6,OSD,,,,,,,
9110710207,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401111501,9110710207,2/1/2023,3268.06,OSD,,,,,,,
9111337432,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401178320,9111337432,7/12/2023,3164.24,OSD,,,,,,,
9110980101,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401123647,9110980101,3/24/2023,3072.79,OSD,,,,,,,
9110833241,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401118430,9110833241,2/17/2023,3038.38,OSD,,,,,,,
9111254527,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401160879,9111254527,5/30/2023,3004.66,OSD,,,,,,,
9111315345,1001000146,HENRY SCHEIN INC,HENRY SCHEIN INC,1401166579,9111315345,6/12/2023,2992,OSD,,,,,,,
9111135787,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401152958,9111135787,5/10/2023,2925.02,OSD,,,,,,,
9111160990,1001073153,Fisher,Fisher  ,9111160990,9111160990,6/20/2023,2882.25,OSD,,,,,,,
9111160991,1001073153,Fisher,Fisher  ,9111160991,9111160991,6/20/2023,2160,OSD,,,,,,,
9111023922,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401175701,9111023922,7/6/2023,2038.41,OSD,,,,,,,
9111075990,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401142768,9111075990,4/17/2023,1858.25,OSD,,,,,,,
9111155282,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401150372,9111155282,5/4/2023,1858.25,OSD,,,,,,,
9111215977,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401157882,9111215977,5/22/2023,1709.78,OSD,,,,,,,
9111241862,1001000147,Mckesson,Mckesson,1401162833,9111241862,6/2/2023,1486.72,OSD,,,,,,,
9110630108,1001000147,Mckesson,Mckesson,1401100379,9110630108,1/4/2023,1378.8,OSD,,,,,,,
9110630109,1001000147,Mckesson,Mckesson,1401100379,9110630109,1/4/2023,1378.8,OSD,,,,,,,
9111424111,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401179670,9111424111,7/17/2023,1313.16,OSD,,,,,,,
9111180901,1001000147,Mckesson,Mckesson,1401155399,9111180901,5/16/2023,1260,OSD,,,,,,,
9111069238,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401146899,9111069238,4/26/2023,1238.83,OSD,,,,,,,
9111117470,1001073153,Fisher,Fisher  ,9111117470,9111117470,5/30/2023,1200,OSD,,,,,,,
9110637194,1001000147,Mckesson,Mckesson,1401141026,9110637194,4/11/2023,1034.1,OSD,,,,,,,
9111424438,1001000141,AMERISOURCE BERGEN CORP,AMERISOURCE BERGEN CORP,1401179670,9111424438,7/17/2023,1019.05,OSD,,,,,,,
9111723040,1001000147,Mckesson,Mckesson,1401216306,9111723040,10/13/2023,5342.4,OSD,,,,,,,
9111576496,1001000147,Mckesson,Mckesson,9111576496,9111576496,9/1/2023,4307.79,OSD,,,,,,,
9112005397,1001000144,Mckesson,Mckesson,1401236306,9112005397,12/4/2023,3420,OSD,,,,,,,
9112150911,1001000144,Mckesson,Mckesson,1401250414,9112150911,1/11/2024,3381.4,OSD,,,,,,,
9112156325,1001000144,Mckesson,Mckesson,1401251507,9112156325,1/16/2024,3355.32,OSD,,,,,,,
9111576496,1001000147,Mckesson,Mckesson,1401238657,9111576496,12/8/2023,3317.94,OSD,,,,,,,
9112008151,1001000144,Mckesson,Mckesson,1401236306,9112008151,12/4/2023,3300,OSD,,,,,,,
9112037565,1001000144,Mckesson,Mckesson,1401239184,9112037565,12/11/2023,3135,OSD,,,,,,,
9111195763,1001000147,Mckesson,Mckesson,1600574760,9111195763,8/14/2023,2976.96,OSD,,,,,,,
9111279253,1001000147,Mckesson,Mckesson,1600574760,9111279253,8/14/2023,2551.68,OSD,,,,,,,
9100599621,1001201853,Mckesson,Mckesson,1400116214,9100599621,2/24/2023,11147.98,OSD,,,,,,,
