concat,invoice_number,sku,order_number,bol,shortage,damage,return,overage,net_shortage,customer_sign,carrier_sign,subject_to_count,pod_found,
9.11163E+15,9111630198,442021,PR3326048,7115672555 ,0,0,0,0,0,Yes,Yes,No,Yes,442021
9.11179E+15,9111785290,220244,PR3335236,7115757337,0,0,0,0,0,Yes,Yes,No,Yes,220244
9111955082FP-23-AD008,9111955082,FP-23-AD008,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0029YN,9111955082,LH-0029YN,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0031,9111955082,LH-0031,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0031YN,9111955082,LH-0031YN,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0032,9111955082,LH-0032,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0032YN,9111955082,LH-0032YN,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082VPPCSP,9111955082,VPPCSP,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,132015,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,632034,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,651910,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,652010,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,672034,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.1118E+15,9111803969,256045,33032328,6028212794,0,0,0,0,0,No,Yes,No,Yes,256045
9.11212E+15,9112119739,302995,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,303345,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305017,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305127,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305195,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305217,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305219,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305489,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305764,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305787,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305829,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,306610,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,363083,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367203,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367281,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367283,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367298,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367856,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367861,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367960,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
