concat,invoice_number,sku,order_number,bol,shortage,damage,return,overage,net_shortage,customer_sign,carrier_sign,subject_to_count,pod_found
9111026403220531,9111026403,220531,PR3129159,6026667939,0,0,0,0,0,Yes,Yes,No,Yes
9110909529220220,9110909529,220220,PR3105046,6026498769,0,0,0,0,0,Yes,Yes,No,Yes
9110679071324911,9110679071,324911,8115869067,6026059950,0,0,0,0,0,Yes,Yes,No,Yes
9110679071320119,9110679071,320119,8115869067,6026059950,0,0,0,0,0,Yes,Yes,No,Yes
9110703566326895,9110703566,326895,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566324912,9110703566,324912,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566324911,9110703566,324911,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566328418,9110703566,328418,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566328440,9110703566,328440,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566328438,9110703566,328438,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566328468,9110703566,328468,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566328203,9110703566,328203,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566320109,9110703566,320109,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566329515,9110703566,329515,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566328411,9110703566,328411,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566328466,9110703566,328466,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566328431,9110703566,328431,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566320122,9110703566,320122,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566320119,9110703566,320119,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566320749,9110703566,320749,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
9110703566320550,9110703566,320550,8113759032,6026161105,0,0,0,0,0,Yes,Yes,No,Yes
911080949930382902213537,9110809499,3.03829E+13,PR3086881,6024862288,0,0,0,0,0,Yes,Yes,No,Yes
911091426550382903065467,9110914265,5.03829E+13,8183855195,6026482969,0,0,0,0,0,Yes,Yes,No,Yes
911077074950382903201223,9110770749,5.03829E+13,8149879262,6026268136,0,0,0,0,0,Yes,Yes,No,Yes
911123656750382903201223,9111236567,5.03829E+13,8149889170,6027164128,0,0,0,0,0,Yes,Yes,No,Yes
9111172826382902140108,9111172826,3.82902E+11,PR3171718,6025817873,0,0,0,0,0,Yes,Yes,No,Yes
911120140210801741047760,9111201402,1.08017E+13,1011311269,6027089465,0,0,0,0,0,No,No,No,Yes
911111168738053326009380,9111111687,3.80533E+13,PR3129159,6026950617,0,0,0,0,0,Yes,No,No,Yes
9110883808326895,9110883808,326895,8130779562,6026409922,0,0,0,0,0,Yes,Yes,No,Yes
9110883808328418,9110883808,328418,8130779562,6026409922,0,0,0,0,0,Yes,Yes,No,Yes
9110883808328440,9110883808,328440,8130779562,6026409922,0,0,0,0,0,Yes,Yes,No,Yes
9110883808328468,9110883808,328468,8130779562,6026409922,0,0,0,0,0,Yes,Yes,No,Yes
9110883808320109,9110883808,320109,8130779562,6026409922,0,0,0,0,0,Yes,Yes,No,Yes
9110883808328411,9110883808,328411,8130779562,6026409922,0,0,0,0,0,Yes,Yes,No,Yes
9110883808328466,9110883808,328466,8130779562,6026409922,0,0,0,0,0,Yes,Yes,No,Yes
9110883808320122,9110883808,320122,8130779562,6026409922,0,0,0,0,0,Yes,Yes,No,Yes
9110883808320119,9110883808,320119,8130779562,6026409922,0,0,0,0,0,Yes,Yes,No,Yes
