concat,invoice_number,invoice_date,sku,billed_qty,gross_price,oi_deal,promo_allowance,cash_discount,freight_amount,others,net_price,gross_price_per_qty,net_price_per_qty,fuel_allowance,lane,freight_rate,freight_weight,gross_weight,total_freight,order_number,bol,carrier,freight_type,invoice_status
9111630198442020,9111630198,,442020,53,16973.25,0,0,0,0,0,16973.25,320.25,320.25,,,,,,,PR3288285,7115672555 ,ESTES EXPRRESS LINES,,Yes
9111630198442021,9111630198,,442021,160,42252.8,0,0,0,0,0,42252.8,264.08,264.08,,,,,,,PR3288285,7115672555 ,ESTES EXPRRESS LINES,,Yes
9111630198442022,9111630198,,442022,3,1056.84,0,0,0,0,0,1056.84,352.28,352.28,,,,,,,PR3288285,7115672555 ,ESTES EXPRRESS LINES,,Yes
9111630198442288,9111630198,,442288,3,1415.94,0,0,0,0,0,1415.94,471.98,471.98,,,,,,,PR3288285,7115672555 ,ESTES EXPRRESS LINES,,Yes
9111785290220526,9111785290,,220526,18,3600,0,0,0,0,0,3600,200,200,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220093,9111785290,,220093,9,315,0,0,0,0,0,315,35,35,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220105,9111785290,,220105,218,9810,0,0,0,0,0,9810,45,45,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220109,9111785290,,220109,180,9000,0,0,0,0,0,9000,50,50,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220135,9111785290,,220135,58,2030,0,0,0,0,0,2030,35,35,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220116,9111785290,,220116,10,350,0,0,0,0,0,350,35,35,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220215,9111785290,,220215,24,2400,0,0,0,0,0,2400,100,100,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220216,9111785290,,220216,7,350,0,0,0,0,0,350,50,50,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220217,9111785290,,220217,24,2400,0,0,0,0,0,2400,100,100,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220245,9111785290,,220245,310,20150,0,0,0,0,0,20150,65,65,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220251,9111785290,,220251,2,280,0,0,0,0,0,280,140,140,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111785290220244,9111785290,,220244,13,1625,0,0,0,0,0,1625,125,125,,,,,,,PR3326048,7115757337,AVERITT EXPRESS INC,,Yes
9111955082FP-23-AD008,9111955082,,FP-23-AD008,1,445,0,0,0,0,0,445,445,445,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082LH-0029YN,9111955082,,LH-0029YN,2,1984,0,0,0,0,0,1984,992,992,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082LH-0031,9111955082,,LH-0031,32,29184,0,0,0,0,0,29184,912,912,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082LH-0031YN,9111955082,,LH-0031YN,68,67456,0,0,0,0,0,67456,992,992,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082LH-0032,9111955082,,LH-0032,3,2736,0,0,0,0,0,2736,912,912,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082LH-0032YN,9111955082,,LH-0032YN,1,992,0,0,0,0,0,992,992,992,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082VPPCSP,9111955082,,VPPCSP,2,7010,0,0,0,0,0,7010,3505,3505,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082132015,9111955082,,132015,1,1196,0,0,0,0,0,1196,1196,1196,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082632034,9111955082,,632034,32,24780.8,0,0,0,0,0,24780.8,774.4,774.4,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082651910,9111955082,,651910,11,9891.2,0,0,0,0,0,9891.2,899.2,899.2,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
9111955082652010,9111955082,,652010,1,899.2,0,0,0,0,0,899.2,899.2,899.2,,,,,,,33206039,6028508963,FED EX FREIGHT EAST,,Yes
