concat,invoice_number,invoice_date,sku,billed_qty,gross_price,oi_deal,promo_allowance,cash_discount,freight_amount,others,net_price,gross_price_per_qty,net_price_per_qty,fuel_allowance,lane,freight_rate,freight_weight,gross_weight,total_freight,order_number,bol,carrier,freight_type,invoice_status
9.11162E+17,9111618049,9/7/2023,10942011,2,197.2,0,0,0,0,0,197.2,98.6,98.6,,,,,,,4531584150,6027659075,ABF FREIGHT SYSTEM INC,,Yes
9.11162E+17,9111618049,9/7/2023,11088483,1,293,0,0,0,0,0,293,293,293,,,,,,,4531584150,6027659075,ABF FREIGHT SYSTEM INC,,Yes
9.11162E+17,9111618049,9/7/2023,11532269,6,1518,0,0,0,0,0,1518,253,253,,,,,,,4531584150,6027659075,ABF FREIGHT SYSTEM INC,,Yes
9.1118E+15,9111803776,10/19/2023,132010,1,309,0,0,0,0,0,309,309,309,,,,,,,19711,6028289289,FEDEX CORP,,Yes
9.11054E+19,9110541475,12/20/2022,1727170103,5,947.5,0,0,0,0,0,947.5,189.5,189.5,,,,,,,8120602241,94445,CAROLINA TANK LINES,,Yes
91118960382000E,9111896038,11/16/2023,2000E,1,134,0,0,0,0,0,134,134,134,,,,,,,4531709469,6028364355,CARDINAL INTEGRATED,,Yes
911161804920159E,9111618049,9/7/2023,20159E,2,752,0,0,0,0,0,752,376,376,,,,,,,4531584150,6027659075,ABF FREIGHT SYSTEM INC,,Yes
911161804920558E,9111618049,9/7/2023,20558E,7,1848,0,0,0,0,0,1848,264,264,,,,,,,4531584150,6027659075,ABF FREIGHT SYSTEM INC,,Yes
9.11117E+15,9111172826,7/18/2023,211279,1,118.9,0,0,0,0,0,118.9,118.9,118.9,,,,,,,PR3171718,6025817873,CAROLINA TANK LINES,,Yes
9.11117E+15,9111172826,7/18/2023,211438,6,638.88,0,0,0,0,0,638.88,106.48,106.48,,,,,,,PR3171718,6025817873,CAROLINA TANK LINES,,Yes
9.11117E+15,9111172826,7/18/2023,211825,12,738.84,0,0,0,0,0,738.84,61.57,61.57,,,,,,,PR3171718,6025817873,CAROLINA TANK LINES,,Yes
