id,invoice_number,sku,deducted_amount,deducted_qty,deducted_price_per_qty,deduction_date,invoice_location,reason_code,sub_reason_code,deduction_reason
9111723040,9111723040,320122,5342.4,8,667.8,10/13/2023,,Shortage,,OSD
9112150911,9112150911,305054,92.4,1,92.4,1/11/2024,,Shortage,,OSD
9112150911,9112150911,306610,2656.5,42,63.25,1/11/2024,,Shortage,,OSD
9112150911,9112150911,306615,63.25,1,63.25,1/11/2024,,Shortage,,OSD
9112150911,9112150911,306617,63.25,1,63.25,1/11/2024,,Shortage,,OSD
9112150911,9112150911,306618,506,8,63.25,1/11/2024,,Shortage,,OSD
9112156325,9112156325,305195,128,2,64,1/16/2024,,Shortage,,OSD
9112156325,9112156325,367283,852.12,3,284.04,1/16/2024,,Shortage,,OSD
9112156325,9112156325,367856,131.2,1,131.2,1/16/2024,,Shortage,,OSD
9112156325,9112156325,381423,1870,5,374,1/16/2024,,Shortage,,OSD
9112156325,9112156325,381512,374,1,374,1/16/2024,,Shortage,,OSD
9112119747,9112119747,309575,326.4,3,108.8,1/8/2024,,Shortage,,OSD
9112119747,9112119747,382523,1870,5,374,1/8/2024,,Shortage,,OSD
9111552911,9111552911,515060,1404,1,1404,8/28/2023,,Shortage,,OSD
9112134365,9112134365,MFS137,419,2,209.5,1/8/2024,,Shortage,,OSD
9112134365,9112134365,MP1000-C,945,7,135,1/8/2024,,Shortage,,OSD
9112165869,9112165869,385108,1288,8,161,1/18/2024,,Shortage,,OSD
9111761743,9111761743,306414,1286.4,4,321.6,12/28/2023,,Shortage,,OSD
9112119742,9112119742,305902,1085,7,155,1/8/2024,,Shortage,,OSD
9112119742,9112119742,309575,108.8,1,108.8,1/8/2024,,Shortage,,OSD
9111824795,9111824795,309628,1087.2,3,362.4,11/14/2023,,Shortage,,OSD
9112128362,9112128362,261181,180,3,60,1/16/2024,,Shortage,,OSD
9112128362,9112128362,231748,462.66,2,231.33,1/16/2024,,Shortage,,OSD
9112128362,9112128362,230725,201.2,10,20.12,1/16/2024,,Shortage,,OSD
9112128362,9112128362,231149,80.52,4,20.13,1/16/2024,,Shortage,,OSD
9112128362,9112128362,231590,80.92,4,20.23,1/16/2024,,Shortage,,OSD
9112128362,9112128362,231727,54,1,54,1/16/2024,,Shortage,,OSD
