id,customer_account,customer_name,standard_customer,deduction_reference,invoice_number,deduction_date,deduction_amount,deduction_reason,payment_number,backup_status,invoice_status,bol,pod_status,validation,invalid_amount,valid_amount,priority
1401180810,1001000147,MCKESSON DRUG COMPANY,Costco,7393890883,1401180810,7/18/2023,456334.37,OSD,,,,,,,,,No
9111872001,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002611092,9111872001,11/22/2023,375736.86,OSD,,,,,,,,,No
9111035339,1001620381,CARDINAL HEALTH PRESOURCE,Walmart,5546099,9111035339,4/21/2023,342847.8,OSD,,,,,,,,,No
9111343154,1001620381,CARDINAL HEALTH PRESOURCE,Walmart,5549634,9111343154,7/3/2023,338291,OSD,,,,,,,,,No
9111343154,1001620381,CARDINAL HEALTH PRESOURCE,Walmart,5549634,9111343154,7/19/2023,337763,OSD,,,,,,,,,No
1401195321,1001000208,CVS MERIDIAN INC,CVS,1500274825,1401195321,8/23/2023,292996.19,OSD,,,,,,,,,No
1401140961,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000516472,1401140961,4/12/2023,271590.55,OSD,,,,,,,,,No
1401181014,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002492859,1401181014,7/19/2023,257002.8,OSD,,,,,,,,,No
9111774286,1001073363,VA MEDICAL CENTER,VA MEDICAL CENTER,6150872094,9111774286,11/6/2023,245280,OSD,,,,,,,,,No
1401175304,1001000147,MCKESSON DRUG COMPANY,Costco,7374719378,1401175304,7/5/2023,221054,OSD,,,,,,,,,No
1401175304,1001000147,MCKESSON DRUG COMPANY,Costco,7374719378,1401175304,7/5/2023,212665.73,OSD,,,,,,,,,No
9111528375,1001000200,MEDLINE INDUSTRIES,Amazon,14688592,9111528375,9/15/2023,211029.26,OSD,,,,,,,,,No
1401146069,1001000208,CVS MERIDIAN INC,CVS,1500130927,1401146069,4/24/2023,201622.4,OSD,,,,,,,,,No
1401241409,1001000200,MEDLINE INDUSTRIES,Amazon,14756403,1401241409,12/15/2023,189720,OSD,,,,,,,,,No
1401192622,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000030781,1401192622,8/16/2023,183524.34,OSD,,,,,,,,,No
1600546406,1001131378,BANNER HEALTH,BANNER HEALTH,4304889,1600546406,2/13/2023,180883.48,OSD,,,,,,,,,No
1401131737,1001000147,MCKESSON DRUG COMPANY,Costco,7209416054,1401131737,3/21/2023,180628.19,OSD,,,,,,,,,No
9110909908,1001006065,LIFECORE BIOMEDICAL,LIFECORE BIOMEDICAL,140211,9110909908,4/27/2023,179706.6,OSD,,,,,,,,,No
1401103487,1001000214,OWENS & MINOR INC,Kroger,8269323,1401103487,1/12/2023,171396,OSD,,,,,,,,,No
9111710562,1001050979,RGH ENTERPRISES INC,C&S,1313983,9111710562,11/22/2023,25920,OSD,,,,,,,,,No
1401203741,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1205464,1401203741,9/13/2023,165913.28,OSD,,,,,,,,,No
1401173975,1001000200,MEDLINE INDUSTRIES,Amazon,14632435,1401173975,6/30/2023,165298.86,OSD,,,,,,,,,No
1401105989,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002354146,1401105989,1/19/2023,162850.42,OSD,,,,,,,,,No
1401218089,1001000214,OWENS & MINOR INC,Kroger,8313640,1401218089,10/18/2023,162632.41,OSD,,,,,,,,,No
1401128678,1001000214,OWENS & MINOR INC,Kroger,8278625,1401128678,3/14/2023,161815.44,OSD,,,,,,,,,No
1401135894,1001000200,MEDLINE INDUSTRIES,Amazon,14565211,1401135894,3/31/2023,143640,OSD,,,,,,,,,No
1401140961,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000516472,1401140961,4/12/2023,142047,OSD,,,,,,,,,No
1401234949,1001000146,HENRY SCHEIN INC,Target,81836419,1401234949,11/29/2023,134640,OSD,,,,,,,,,No
1401217874,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000410475,1401217874,10/5/2023,132000,OSD,,,,,,,,,No
1401148159,1001000146,HENRY SCHEIN INC,Target,81765568,1401148159,4/28/2023,130946.4,OSD,,,,,,,,,No
1401147473,1001000146,HENRY SCHEIN INC,Target,81764567,1401147473,4/27/2023,123571.2,OSD,,,,,,,,,No
1401100903,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002335020,1401100903,1/6/2023,116239.41,OSD,,,,,,,,,No
1401195779,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000110024,1401195779,8/24/2023,111878.31,OSD,,,,,,,,,No
1401203741,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1205464,1401203741,9/13/2023,110295.66,OSD,,,,,,,,,No
1401147325,1001000143,CARDINAL DISTRIBUTION,Walmart,14097692,1401147325,4/27/2023,110139.86,OSD,,,,,,,,,No
9111206348,1001073153,FISHER SCIENTIFIC COMPANY,Dollar General,89404092,9111206348,5/2/2023,108002.14,OSD,,,,,,,,,No
1401173043,1001000200,MEDLINE INDUSTRIES,Amazon,14630640,1401173043,6/28/2023,104533.11,OSD,,,,,,,,,No
1401232452,1001000200,MEDLINE INDUSTRIES,Amazon,14739449,1401232452,11/22/2023,104040,OSD,,,,,,,,,No
1401115937,1001000143,CARDINAL DISTRIBUTION,Walmart,12189902,1401115937,2/13/2023,104025,OSD,,,,,,,,,No
1401216306,1001000147,MCKESSON DRUG COMPANY,Costco,7528353406,1401216306,10/13/2023,98382.98,OSD,,,,,,,,,No
1401153394,1001000214,OWENS & MINOR INC,Kroger,8288234,1401153394,5/11/2023,86751.22,OSD,,,,,,,,,No
1401152694,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000875609,1401152694,5/3/2023,85059.43,OSD,,,,,,,,,No
1401218653,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1218208,1401218653,10/19/2023,85052.75,OSD,,,,,,,,,No
