concat,invoice_number,sku,order_number,bol,shortage,damage,return,overage,net_shortage,customer_sign,carrier_sign,subject_to_count,pod_found
23040320122,9111723040,320122,8183875126,,0,0,0,0,0,No,Yes,No,Yes
50911305054,9112150911,305054,33436732,Multiple,0,0,0,0,0,Yes,No,No,Yes
50911306610,9112150911,306610,33436732,Multiple,0,0,0,0,0,Yes,No,No,Yes
50911306615,9112150911,306615,33436732,Multiple,0,0,0,0,0,Yes,No,No,Yes
50911306617,9112150911,306617,33436732,Multiple,0,0,0,0,0,Yes,No,No,Yes
50911306618,9112150911,306618,33436732,Multiple,0,0,0,0,0,Yes,No,No,Yes
56325305195,9112156325,305195,33443520,6028915790,0,0,0,0,0,Yes,Yes,No,Yes
56325367283,9112156325,367283,33443520,6028915790,0,0,0,0,0,Yes,Yes,No,Yes
56325367856,9112156325,367856,33443520,6028915790,0,0,0,0,0,Yes,Yes,No,Yes
56325381423,9112156325,381423,33443520,6028915790,0,0,0,0,0,Yes,Yes,No,Yes
56325381512,9112156325,381512,33443520,6028915790,0,0,0,0,0,Yes,Yes,No,Yes
19747309575,9112119747,309575,33232255,6028868055,0,0,0,0,0,No,Yes,No,Yes
19747382523,9112119747,382523,33232255,6028868055,0,0,0,0,0,No,Yes,No,Yes
52911515060,9111552911,515060,8113775062,6027606965,0,0,0,0,0,Yes,Yes,No,Yes
34365MFS137,9112134365,MFS137,33410809,6028837251,0,0,0,0,0,Yes,NO,No,Yes
34365MP1000-C,9112134365,MP1000-C,33410809,6028837251,0,0,0,0,0,Yes,NO,No,Yes
65869385108,9112165869,385108,33261414,6028880481,0,0,0,0,0,Yes,Yes,No,Yes
61743306414,9111761743,306414,8160825349,Multiple,0,0,0,0,0,No,Yes,No,Yes
19742305902,9112119742,305902,33131956,6028827664,0,0,0,0,0,No,Yes,No,Yes
19742309575,9112119742,309575,33131956,6028827664,0,0,0,0,0,No,Yes,No,Yes
24795309628,9111824795,309628,8112678031,6028005537,0,0,0,0,0,No,Yes,No,Yes
28362261181,9112128362,261181,33411330,6028769784,0,0,0,0,0,Yes,Yes,No,Yes
28362231748,9112128362,231748,33411330,6028769784,0,0,0,0,0,Yes,Yes,No,Yes
28362230725,9112128362,230725,33411330,6028769784,0,0,0,0,0,Yes,Yes,No,Yes
28362231149,9112128362,231149,33411330,6028769784,0,0,0,0,0,Yes,Yes,No,Yes
28362231590,9112128362,231590,33411330,6028769784,0,0,0,0,0,Yes,Yes,No,Yes
28362231727,9112128362,231727,33411330,6028769784,0,0,0,0,0,Yes,Yes,No,Yes
28362231729,9112128362,231729,33411330,6028769784,0,0,0,0,0,Yes,Yes,No,Yes
96773220099,9111996773,220099,PR3368600,6028617764,0,0,0,0,0,No,No,No,Yes
96773220146,9111996773,220146,PR3368600,6028617764,0,0,0,0,0,No,No,No,Yes
96773220215,9111996773,220215,PR3368600,6028617764,0,0,0,0,0,No,No,No,Yes
15977328411,9111215977,328411,121005545,6027123183,0,0,0,0,0,Yes,Yes,No,Yes
24111320119,9111424111,320119,291012609,6027556004,0,0,0,0,0,Yes,Yes,No,Yes
69238320550,9111069238,320550,28338548,6026819672,0,0,0,0,0,Yes,Yes,No,Yes
24438328466,9111424438,328466,121014912,6027339753,0,0,0,0,0,Yes,Yes,No,Yes
24438328203,9111424438,328203,121014912,6027339753,0,0,0,0,0,Yes,Yes,No,Yes
74559329515,9111374559,329515,141009406,6025918282,0,0,0,0,0,Yes,Yes,No,Yes
74559320122,9111374559,320122,141009406,6025918282,0,0,0,0,0,Yes,Yes,No,Yes
55340329515,9111555340,329515,161018032,6027764084,0,0,0,0,0,Yes,Yes,No,Yes
94947320550,9111594947,320550,281016000,6027795619,0,0,0,0,0,No,Yes,No,Yes
41862326895,9111241862,326895,8195937508,7115468388,0,0,0,0,0,Yes,No,No,Yes
41862329515,9111241862,329515,8195937508,7115468388,0,0,0,0,0,Yes,No,No,Yes
30108305200,9110630108,305200,8149874919,6026013639,0,0,0,0,0,No,No,No,Yes
30109305200,9110630109,305200,8149875591,6026017711,0,0,0,0,0,No,No,No,Yes
80901320550,9111180901,320550,8195936022,7115438121,0,0,0,0,0,Yes,No,No,Yes
17470221780,9111117470,221780,PR3149392,6026838360,0,0,0,0,0,Yes,Yes,No,Yes
37194305200,9110637194,305200,8115867656,6025990144,0,0,0,0,0,No,No,No,Yes
76496328418,9111576496,328418,8155962183,6027695981,0,0,0,0,0,Yes,Yes,Yes,Yes
05397256082,9112005397,256082,33241630,6028630005,0,0,0,0,0,Yes,Yes,No,Yes
08151256038,9112008151,256038,33278584,6028663915,0,0,0,0,0,No,No,No,Yes
37565256045,9112037565,256045,33307869,6028664886,0,0,0,0,0,No,No,No,Yes
95763306546,9111195763,306546,8155951368,6027028873,0,0,0,0,0,Yes,Yes,Yes,Yes
79253306546,9111279253,306546,8110788422,6027209862,0,0,0,0,0,Yes,Yes,No,Yes
91429326910,9100591429,326910,41671,6026015954,0,0,0,0,0,Yes,Yes,No,Yes
89897309628,9111989897,309628,8144745019,6026600797,0,0,0,0,0,Yes,Yes,No,Yes
31712320882,9111831712,320882,8165987326,6028318862,0,0,0,0,0,No,No,No,Yes
31712320883,9111831712,320883,8165987326,6028318862,0,0,0,0,0,No,No,No,Yes
69927302832,9111669927,302832,8149898242,6028042142,0,0,0,0,0,Yes,Yes,No,Yes
50936515060,9111550936,515060,8113777369,Multiple,0,0,0,0,0,No,Yes,No,Yes
50936305219,9111550936,305219,8113777369,Multiple,0,0,0,0,0,No,Yes,No,Yes
89725260100,9111889725,260100,33112143,6028408390,0,0,0,0,0,NO,NO,No,Yes
97408320550,9111697408,320550,8183875741,6028056857,0,0,0,0,0,No,Yes,No,Yes
03562515003,9111603562,515003,8110797098,6027742086,0,0,0,0,0,No,Yes,No,Yes
48970515003,9111648970,515003,8165981732,6027954187,0,0,0,0,0,Yes,Yes,Yes,Yes
730251727170105,9110673025,1727170105,8145878654,Multiple,0,0,0,0,0,Yes,Yes,No,Yes
73025305200,9110673025,305200,8145878654,Multiple,0,0,0,0,0,Yes,Yes,No,Yes
72483221283,9111372483,221283,PR3215868,6027134081,0,0,0,0,0,Yes,Yes,No,Yes
69713367815,9111869713,367815,PR3335236,6028272537,0,0,0,0,0,Yes,Yes,No,Yes
22511367841,9111522511,367841,PR3262125,6027622946,0,0,0,0,0,Yes,Yes,No,Yes
12411363706,9111512411,363706,PR3258283,6027717334,0,0,0,0,0,Yes,Yes,No,Yes
