id,standard_customer,invoice_number,sku,deducted_amount,deducted_qty,deducted_price_per_qty,deduction_date,invoice_location,reason_code,sub_reason_code,deduction_reason,backup_status,
,Dot Foods,72190,-,1.09,1,1.09,12/12/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Dot Foods,1895023,-,176.96,1,176.96,16-02-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Dot Foods,2154372,-,176.96,1,176.96,14-03-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,US Foods,9845211,-,25,1,25,1/3/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,US Foods,9861355,-,25,1,25,8/3/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,US Foods,9863365,-,25,1,25,8/3/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Supervalu,11111732,-,200,1,200,17-03-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Supervalu,15306711,-,150,1,150,17-03-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Supervalu,15306712,-,150,1,150,17-03-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Supervalu,17059416,-,200,1,200,17-03-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Supervalu,17059417,-,200,1,200,17-03-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Supervalu,18131320,-,200,1,200,17-03-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Supervalu,21408957,-,200,1,200,17-03-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Supervalu,43034588,-,200,1,200,17-03-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9030752372,-,61.28,1,61.28,5/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Spartan Nash,9031330608,-,75.12,1,75.12,18-05-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9031437581,-,115.45,1,115.45,26-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031546133,-,329.81,1,329.81,4/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031546159,-,143.89,1,143.89,4/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031546162,-,180.68,1,180.68,4/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031550516,-,116.61,1,116.61,5/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031552741,-,355.2,1,355.2,5/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031560260,-,341.79,1,341.79,9/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031568832,-,222.15,1,222.15,10/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031569580,-,159.76,1,159.76,11/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031570722,-,166.61,1,166.61,11/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031570785,-,321.49,1,321.49,11/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031571715,-,192.53,1,192.53,11/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031576367,-,260.49,1,260.49,12/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031577365,-,332.11,1,332.11,12/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031580188,-,396.95,1,396.95,12/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031581467,-,389.72,1,389.72,15-08-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031581560,-,399.69,1,399.69,15-08-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031581594,-,220.12,1,220.12,15-08-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031584652,-,389.85,1,389.85,16-08-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031586602,-,337.58,1,337.58,16-08-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031586617,-,376.44,1,376.44,16-08-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031588913,-,217.78,1,217.78,12/8/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031591283,-,116.15,1,116.15,17-08-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031592965,-,164.58,1,164.58,18-08-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031599639,-,149.96,1,149.96,19-08-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
