id,deduction_date,customer_name,customer_account,standard_customer,deduction_reference,invoice_number,,,,,deduction_amount,deduction_reason,payment_number,backup_status,invoice_status,validation,invalid_amount,valid_amount,billback,billback_date,billback_amount,recover_status,recoverd_amount
VEN0275055,14-07-2023,Associated Wholesale Grocers,40000625,AWG,9032828917,9032828917,2,2,2,0,396.45,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275057,26-06-2023,Associated Wholesale Grocers,40000625,AWG,9032760622,9032760622,1,1,1,0,316.27,Freight Allowance,,Yes,No,0,0,0,,,,,
686159,6/7/2023,Kroger Company,40000081,Kroger,9032759283,9032759283,1,1,1,0,275.58,Freight Allowance,,Yes,No,0,0,0,,,,,
686165,12/7/2023,Kroger Company,40000081,Kroger,9032779247,9032779247,1,1,1,0,205.54,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275059 ,30-06-2023,Associated Wholesale Grocers,40000625,AWG,9032772714,9032772714,2,2,2,0,195.51,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275060,30-06-2023,Associated Wholesale Grocers,40000625,AWG,9032775286,9032775286,2,2,2,0,164.55,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275061,7/7/2023,Associated Wholesale Grocers,40000625,AWG,9032803536,9032803536,1,1,1,0,151.18,Freight Allowance,,Yes,No,0,0,0,,,,,
686186,30-06-2023,Kroger Company,40000081,Kroger,9032741073,9032741073,1,1,1,0,131.86,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275063,6/7/2023,Associated Wholesale Grocers,40000625,AWG,9032799609,9032799609,1,1,1,0,127.3,Freight Allowance,,Yes,No,0,0,0,,,,,
686269,30-06-2023,Kroger Company,40000081,Kroger,9032748020,9032748020,1,1,1,0,125.92,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275065,10/7/2023,Associated Wholesale Grocers,40000625,AWG,9032803248,9032803248,1,1,1,0,124,Freight Allowance,,Yes,No,0,0,0,,,,,
686280,7/7/2023,Kroger Company,40000081,Kroger,9032764120,9032764120,1,1,1,0,108.58,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275052 ,6/7/2023,Associated Wholesale Grocers,40000625,AWG,9032791212,9032791212,2,2,2,0,100.66,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275054 ,6/7/2023,Associated Wholesale Grocers,40000625,AWG,9032797116,9032797116,2,2,2,0,89.63,Freight Allowance,,Yes,No,0,0,0,,,,,
2000001391 ,23-01-2023,Costco Companies Inc ,40000155,Costco,9032180500,9032180500,1,1,1,0,155.79,Freight Allowance,,Yes,Yes,0,0,0,,,,,
VEN0276468,13-07-2023,Associated Wholesale Grocers,40000625,AWG,9032826993,9032826993,1,1,1,0,56.19,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275066 ,13-07-2023,Associated Wholesale Grocers,40000625,AWG,9032822259,9032822259,1,1,1,0,55.34,Freight Allowance,,Yes,No,0,0,0,,,,,
,14-07-2023,Associated Wholesale Grocers,40000625,AWG,9032833100,9032833100,2,2,2,0,53.88,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275050,30-06-2023,Associated Wholesale Grocers,40000625,AWG,9032772714,9032772714,2,2,2,0,53.46,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0275080,7/7/2023,Associated Wholesale Grocers,40000625,AWG,9032804513,9032804513,1,1,1,0,50.1,Freight Allowance,,Yes,No,0,0,0,,,,,
695374,9/8/2023,Kroger Company,40000081,Kroger,9032880968-CM,9032880968-CM,1,1,1,0,100.12,Freight Allowance,,Yes,No,0,0,0,,,,,
695175,2/8/2023,Kroger Company,40000081,Kroger,9032857321-CM,9032857321-CM,1,1,1,0,101.2,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0278744 ,14-08-2023,Associated Wholesale Grocers,40000625,AWG,9032937361,9032937361,1,1,1,0,57.41,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0278768 ,17-08-2023,Associated Wholesale Grocers,40000625,AWG,9032946125,9032946125,1,1,1,0,57.67,Freight Allowance,,Yes,No,0,0,0,,,,,
,31-07-2023,C&S Wholesale Grocers Inc,40000622,C&S,9032880036,9032880036,1,1,1,0,318.45,Freight Allowance,,Yes,No,0,0,0,,,,,
695384,25-07-2023,Kroger Company,40000081,Kroger,9032828747,9032828747,1,1,1,0,108.89,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0278745,23-08-2023,Associated Wholesale Grocers,40000625,AWG,9032966457,9032966457,2,2,2,0,61.7,Freight Allowance,,Yes,No,0,0,0,,,,,
695388,21-08-2023,Kroger Company,40000081,Kroger,9032922044,9032922044,1,1,1,0,111.62,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0278769,28-07-2023,Associated Wholesale Grocers,40000625,AWG,9032873260,9032873260,1,1,1,0,68.32,Freight Allowance,,Yes,No,0,0,0,,,,,
695390,27-07-2023,Kroger Company,40000081,Kroger,9032834209,9032834209,1,1,1,0,123.02,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0278770,18-08-2023,Associated Wholesale Grocers,40000625,AWG,9032953813,9032953813,1,1,1,0,85.28,Freight Allowance,,Yes,No,0,0,0,,,,,
695392,3/8/2023,Kroger Company,40000081,Kroger,9032857336,9032857336,1,1,1,0,137.69,Freight Allowance,,Yes,No,0,0,0,,,,,
695183,24-07-2023,Kroger Company,40000081,Kroger,9032821951-CM,9032821951-CM,1,1,1,0,143.84,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0278835,4/8/2023,Associated Wholesale Grocers,40000625,AWG,9032898620,9032898620,1,1,1,0,106,Freight Allowance,,Yes,No,0,0,0,,,,,
695186,16-08-2023,Kroger Company,40000081,Kroger,9032902172,9032902172,1,1,1,0,167.81,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0279064,8/8/2023,Associated Wholesale Grocers,40000625,AWG,9032918922,9032918922,1,1,1,0,121.13,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0279093,4/8/2023,Associated Wholesale Grocers,40000625,AWG,9032898610,9032898610,1,1,1,0,123.42,Freight Allowance,,Yes,No,0,0,0,,,,,
695402,31-07-2023,Kroger Company,40000081,Kroger,9032844186,9032844186,1,1,1,0,189.37,Freight Allowance,,Yes,No,0,0,0,,,,,
695463,7/8/2023,Kroger Company,40000081,Kroger,9032869433,9032869433,1,1,1,0,236.18,Freight Allowance,,Yes,No,0,0,0,,,,,
,28-07-2023,Associated Wholesale Grocers,40000625,AWG,9032873264,9032873264,1,1,1,0,135.01,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0279095 ,31-07-2023,Associated Wholesale Grocers,40000625,AWG,9032880060,9032880060,1,1,1,0,135.19,Freight Allowance,,Yes,No,0,0,0,,,,,
698411,11/8/2023,Kroger Company,40000081,Kroger,9032885473,9032885473,1,1,1,0,289.56,Freight Allowance,,Yes,No,0,0,0,,,,,
,24-07-2023,Associated Wholesale Grocers,40000625,AWG,9032858245,9032858245,2,2,2,0,136.75,Freight Allowance,,Yes,No,0,0,0,,,,,
,28-07-2023,Associated Wholesale Grocers,40000625,AWG,9032877449,9032877449,1,1,1,0,139.83,Freight Allowance,,Yes,No,0,0,0,,,,,
,10/8/2023,Associated Wholesale Grocers,40000625,AWG,9032925437,9032925437,1,1,1,0,140.62,Freight Allowance,,Yes,No,0,0,0,,,,,
,24-07-2023,Associated Wholesale Grocers,40000625,AWG,9032857641,9032857641,1,1,1,0,142.24,Freight Allowance,,Yes,No,0,0,0,,,,,
,4/8/2023,Associated Wholesale Grocers,40000625,AWG,9032899730,9032899730,1,1,1,0,142.95,Freight Allowance,,Yes,No,0,0,0,,,,,
,4/8/2023,Associated Wholesale Grocers,40000625,AWG,9032897919,9032897919,1,1,1,0,144,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0279098,31-07-2023,Associated Wholesale Grocers,40000625,AWG,9032880057,9032880057,1,1,1,0,155.92,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0279100,27-07-2023,Associated Wholesale Grocers,40000625,AWG,9032871601,9032871601,1,1,1,0,164.75,Freight Allowance,,Yes,No,0,0,0,,,,,
,23-08-2023,Associated Wholesale Grocers,40000625,AWG,9032966457,9032966457,2,2,2,0,164.77,Freight Allowance,,Yes,No,0,0,0,,,,,
,31-07-2023,Associated Wholesale Grocers,40000625,AWG,9032884802,9032884802,1,1,1,0,169,Freight Allowance,,Yes,No,0,0,0,,,,,
,14-08-2023,Associated Wholesale Grocers,40000625,AWG,9032938354,9032938354,1,1,1,0,175.68,Freight Allowance,,Yes,No,0,0,0,,,,,
,16-08-2023,Associated Wholesale Grocers,40000625,AWG,9032944933,9032944933,1,1,1,0,175.92,Freight Allowance,,Yes,No,0,0,0,,,,,
695471,27-07-2023,Kroger Company,40000081,Kroger,9032835966,9032835966,1,1,1,0,304.2,Freight Allowance,,Yes,No,0,0,0,,,,,
,24-07-2023,Associated Wholesale Grocers,40000625,AWG,9032854461,9032854461,1,1,1,0,185.73,Freight Allowance,,Yes,No,0,0,0,,,,,
,14-08-2023,Associated Wholesale Grocers,40000625,AWG,9032934450,9032934450,1,1,1,0,205.36,Freight Allowance,,Yes,No,0,0,0,,,,,
,18-08-2023,Associated Wholesale Grocers,40000625,AWG,9032950118,9032950118,1,1,1,0,208.56,Freight Allowance,,Yes,No,0,0,0,,,,,
,28-07-2023,Associated Wholesale Grocers,40000625,AWG,9032873259,9032873259,1,1,1,0,210.44,Freight Allowance,,Yes,No,0,0,0,,,,,
,24-07-2023,Associated Wholesale Grocers,40000625,AWG,9032853696,9032853696,1,1,1,0,213.64,Freight Allowance,,Yes,No,0,0,0,,,,,
