id,standard_customer,invoice_number,sku,deducted_amount,deducted_qty,deducted_price_per_qty,deduction_date,invoice_location,reason_code,sub_reason_code,deduction_reason,backup_status
AAP-23901126158082023769,Kroger,35821743,0002200028673,9.02,82,0.11,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200024314,4.68,18,0.26,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200024450,8.16,102,0.08,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200024453,8.96,112,0.08,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200024468,7.2,80,0.09,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200024470,26.88,336,0.08,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200027656,2,10,0.2,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200027971,24.7,247,0.1,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200027978,26.8,268,0.1,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200028035,11.52,72,0.16,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200029044,40.3,403,0.1,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000046408,12,100,0.12,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000052537,18.9,105,0.18,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000052543,15.12,84,0.18,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000052553,11.34,63,0.18,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000052566,21.75,75,0.29,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000055085,26.25,75,0.35,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000055116,131.25,375,0.35,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000057978,21,84,0.25,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000057980,28,112,0.25,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000058005,8.64,54,0.16,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000058009,17.28,108,0.16,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000058017,26.88,168,0.16,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000058097,20.16,126,0.16,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1004000058893,3.84,24,0.16,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Promo Cost difference (List Cost),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,0002200028673,43.2,2,21.6,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Shortage/Damage/Do Not Stock (shortage),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200027978,40.8,2,20.4,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Shortage/Damage/Do Not Stock (shortage),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,0002200029280,6,1,6,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,0004000049990,40.32,1,40.32,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200021483,25.92,1,25.92,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200022035,32.4,1,32.4,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200022036,21.6,1,21.6,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200022505,536.76,1,536.76,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200023377,12.16,1,12.16,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200025560,25.2,1,25.2,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200026148,14.72,1,14.72,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200027611,62.72,1,62.72,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200028219,26.88,1,26.88,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
AAP-23901126158082023769,Kroger,35821743,1002200028237,11.52,1,11.52,10/3/2023,Fred Meyer Logistics - Clackmas,Pricing,Net total dollar difference (packs vs sleeves usually),Pricing,Yes
