id,deduction_date,customer_name,customer_account,standard_customer,deduction_reference,invoice_number,deduction_amount,deduction_reason,payment_number,backup_status,invoice_status,validation,invalid_amount,valid_amount,billback,billback_date,billback_amount,recover_status,recoverd_amount
AAP-23901126984032023001,10/25/2023,Kroger,10193311,Kroger,0035680350-C,,3297.23,Pricing,3494786,,,,,,,,,,
AAP-40414000900512024014,2/23/2024,Kroger,10193441,Kroger,0036058392CM,,457.2,Pricing,101184319,,,,,,,,,,
AAP-40414000896902024003,2/14/2024,Kroger,10193441,Kroger,0036025609CM,,3308.29,Pricing,101171973,,,,,,,,,,
AAP-40414000883272024002,1/3/2024,Kroger,10193441,Kroger,DMC35956672,DMC35956672,1195.35,Pricing,101116770,,,,,,,,,,
AAP-40401147815952024001,4/11/2024,Kroger,10193441,Kroger,092-H230186-,092-H230186-092,815.4,Pricing,4682046,,,,,,,,,,
AAP-40401147346032024001,4/3/2024,Kroger,10193441,Kroger,092-R3H5041-,092-R3H5041-703,1807.6,Pricing,4615244,,,,,,,,,,
AAP-40401147346022024001,4/3/2024,Kroger,10193441,Kroger,092-R3H5036-,092-R3H5036-620,2284.8,Pricing,4615244,,,,,,,,,,
AAP-40401147345992024001,4/3/2024,Kroger,10193441,Kroger,092-R3G1231-,092-R3G1231-706,654.8,Pricing,4549289,,,,,,,,,,
AAP-40401146057042024001,3/18/2024,Kroger,10193441,Kroger,092-R3E5680-,092-R3E5680-703,11514.14,Pricing,4458480,,,,,,,,,,
AAP-40401141188572024001,2/21/2024,Kroger,10193441,Kroger,092-R3F0417-,092-R3F0417-181,2065.2,Pricing,4493255,,,,,,,,,,
AAP-40401141188562024001,2/21/2024,Kroger,10193441,Kroger,092-R3F1283-,092-R3F1283-087,1198.8,Pricing,4493255,,,,,,,,,,
AAP-40401141068182024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1312-,092-R3F1312-701,489.6,Pricing,4493255,,,,,,,,,,
AAP-40401141068172024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1276-,,542.4,Pricing,4493255,,,,,,,,,,
AAP-40401141068162024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1276-,,431.52,Pricing,4493255,,,,,,,,,,
AAP-40401141068142024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1312-,092-R3F1312-534,531,Pricing,4493255,,,,,,,,,,
AAP-40401141068132024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1285-,092-R3F1285-534,797.83,Pricing,4493255,,,,,,,,,,
AAP-40401141068122024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1276-,,781.44,Pricing,4493255,,,,,,,,,,
AAP-40401141068112024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1276-,,844.8,Pricing,4493255,,,,,,,,,,
AAP-40401141068092024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1276-,,656.64,Pricing,4493255,,,,,,,,,,
AAP-40401141068082024001,2/19/2024,Kroger,10193441,Kroger,092-R3F0414-,092-R3F0414-181,576,Pricing,4493255,,,,,,,,,,
AAP-40401141068072024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1276-,,690.88,Pricing,4493255,,,,,,,,,,
AAP-40401141068062024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1276-,,401.28,Pricing,4493255,,,,,,,,,,
AAP-40401141068052024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1276-,,601.84,Pricing,4493255,,,,,,,,,,
AAP-40401141068042024001,2/19/2024,Kroger,10193441,Kroger,092-R3F1276-,,576,Pricing,4493255,,,,,,,,,,
AAP-40401140388912024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5650-,092-R3E5650-193,4192.65,Pricing,4458480,,,,,,,,,,
AAP-40401140388902024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5629-,092-R3E5629-034,4408.57,Pricing,4458480,,,,,,,,,,
AAP-40401140388892024001,2/7/2024,Kroger,10193441,Kroger,092-R3E9461-,092-R3E9461-018,1408.27,Pricing,4458480,,,,,,,,,,
AAP-40401140388882024001,2/7/2024,Kroger,10193441,Kroger,092-R3E9463-,092-R3E9463-021,3775.3,Pricing,4458480,,,,,,,,,,
AAP-40401140388872024001,2/7/2024,Kroger,10193441,Kroger,092-R3E9494-,092-R3E9494-620,3619.88,Pricing,4458480,,,,,,,,,,
AAP-40401140388862024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5593-,092-R3E5593-703,2483.52,Pricing,4458480,,,,,,,,,,
AAP-40401140388852024001,2/7/2024,Kroger,10193441,Kroger,092-R3E9456-,092-R3E9456-660,636.48,Pricing,4458480,,,,,,,,,,
AAP-40401140388842024001,2/7/2024,Kroger,10193441,Kroger,092-R3E9511-,092-R3E9511-703,1484,Pricing,4458480,,,,,,,,,,
AAP-40401140388832024001,2/7/2024,Kroger,10193441,Kroger,092-R3E9455-,092-R3E9455-701,2904,Pricing,4458480,,,,,,,,,,
AAP-40401140388822024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5694-,092-R3E5694-091,5629.8,Pricing,4458480,,,,,,,,,,
AAP-40401140388812024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5632-,092-R3E5632-035,3899.01,Pricing,4458480,,,,,,,,,,
AAP-40401140388802024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5677-,092-R3E5677-615,3861.88,Pricing,4458480,,,,,,,,,,
AAP-40401140388792024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5595-,092-R3E5595-181,5383.52,Pricing,4458480,,,,,,,,,,
AAP-40401140388782024001,2/7/2024,Kroger,10193441,Kroger,092-R3E9492-,092-R3E9492-025,3548.97,Pricing,4458480,,,,,,,,,,
AAP-40401140388772024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5627-,092-R3E5627-024,6034.14,Pricing,4458480,,,,,,,,,,
AAP-40401140388762024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5594-,092-R3E5594-706,1231.2,Pricing,4458480,,,,,,,,,,
AAP-40401140388752024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5615-,092-R3E5615-014,5831.6,Pricing,4458480,,,,,,,,,,
AAP-40401140388742024001,2/7/2024,Kroger,10193441,Kroger,092-R3E5592-,092-R3E5592-181,3456,Pricing,4458480,,,,,,,,,,
AAP-40401140388732024001,2/7/2024,Kroger,10193441,Kroger,092-R3E9513-,092-R3E9513-091,900,Pricing,4458480,,,,,,,,,,
AAP-40401138829232024001,1/19/2024,Kroger,10193441,Kroger,092-R3B6580-,,3456,Pricing,4241394,,,,,,,,,,
AAP-24101014454592024001,12/19/2023,Kroger,10194268,Kroger,092-R267452-,,27908.16,Pricing,4276384,,,,,,,,,,
AAP-24101014454582024001,12/19/2023,Kroger,10194268,Kroger,092-R267452-,,5178.6,Pricing,4276384,,,,,,,,,,
AAP-24101014454572024001,12/19/2023,Kroger,10194268,Kroger,092-R267452-,,7022.4,Pricing,4276384,,,,,,,,,,
AAP-24101014454552024001,12/19/2023,Kroger,10194268,Kroger,092-R2X6806-,,24167.94,Pricing,4276384,,,,,,,,,,
AAP-23901132018472024005,3/14/2024,Kroger,10192029,Kroger,092-R332868-,,16542.72,Pricing,3731711,,,,,,,,,,
AAP-23901132018472024004,3/14/2024,Kroger,10192029,Kroger,092-R332775-,,14934.4,Pricing,3731711,,,,,,,,,,
AAP-23901132018472024003,3/14/2024,Kroger,10192029,Kroger,092-R332659,092-R332659-018,12521.92,Pricing,3731711,,,,,,,,,,
AAP-23901132018472024002,3/14/2024,Kroger,10192029,Kroger,092-R333019-,092-R333019-014,7413.76,Pricing,3731711,,,,,,,,,,
AAP-23901132018472024001,3/14/2024,Kroger,10192029,Kroger,092-R332763-,,9879.68,Pricing,3731711,,,,,,,,,,
AAP-23901132018272024004,3/14/2024,Kroger,10197622,Kroger,092-R332359-,,8041.6,Pricing,3692944,,,,,,,,,,
AAP-23901132018272024003,3/14/2024,Kroger,10197622,Kroger,092-R332362-,,14532.32,Pricing,3692944,,,,,,,,,,
AAP-23901132018272024002,3/14/2024,Kroger,10197622,Kroger,092-R332360-,,11717.76,Pricing,3692944,,,,,,,,,,
AAP-23901132018272024001,3/14/2024,Kroger,10197622,Kroger,092-R332361-,,5227.04,Pricing,3692944,,,,,,,,,,
AAP-23901130874742024008,2/16/2024,Kroger,10193311,Kroger,092-R3E7192-,092-R3E7192-181,1706.28,Pricing,4458489,,,,,,,,,,
AAP-23901130874742024006,2/16/2024,Kroger,10193311,Kroger,092-R3E7193-,092-R3E7193-388,2153.28,Pricing,4458489,,,,,,,,,,
