sku,unit_price,pack_price,case_price,units_per_case,units_per_pack,packs_per_case,effective_date,communication_date,buyer_approved
1001900000103,0.73,14.60,219.00,300.00,20.00,15.00,6/15/2023,3/17/2023,Yes
1001900000221,0.73,14.60,219.00,300.00,20.00,15.00,6/15/2023,3/17/2023,Yes
1001900000305,1.71,0.00,20.52,12.00,12.00,0.00,6/15/2023,3/17/2023,Yes
1001900008342,1.71,0.00,20.52,12.00,12.00,0.00,6/15/2023,3/17/2023,Yes
1001900008344,1.71,0.00,20.52,12.00,12.00,0.00,6/15/2023,3/17/2023,Yes
1001900008501,1.71,0.00,20.52,12.00,12.00,0.00,6/15/2023,3/17/2023,Yes
1001900008503,1.71,0.00,20.52,12.00,12.00,0.00,6/15/2023,3/17/2023,Yes
1001900008504,1.71,0.00,20.52,12.00,12.00,0.00,6/15/2023,3/17/2023,Yes
1001900009400,1.71,0.00,20.52,12.00,12.00,0.00,6/15/2023,3/17/2023,Yes
1001900017049,1.71,0.00,20.52,12.00,12.00,0.00,6/15/2023,3/17/2023,Yes
1002200020044,1.59,38.16,228.96,144.00,24.00,6.00,6/15/2023,3/17/2023,Yes
1002200020059,1.59,38.16,228.96,144.00,24.00,6.00,6/15/2023,3/17/2023,Yes
1002200020160,1.59,23.85,143.10,90.00,15.00,6.00,6/15/2023,3/17/2023,Yes
1002200020161,2.00,0.00,16.00,8.00,8.00,0.00,6/15/2023,3/17/2023,Yes
1002200020164,0.59,10.62,84.96,144.00,18.00,8.00,6/15/2023,3/17/2023,Yes
1002200020583,0.59,10.62,84.96,144.00,18.00,8.00,6/15/2023,3/17/2023,Yes
1002200020816,1.71,0.00,20.52,12.00,12.00,0.00,6/15/2023,3/17/2023,Yes
1002200021063,0.73,14.60,219.00,300.00,20.00,15.00,6/15/2023,3/17/2023,Yes
1002200021066,0.73,14.60,219.00,300.00,20.00,15.00,6/15/2023,3/17/2023,Yes
1002200021167,2.64,15.84,63.36,24.00,6.00,4.00,10/15/2021,,Yes
1002200021171,2.64,10.56,42.24,16.00,4.00,4.00,10/15/2021,,Yes
1002200021262,3.54,0.00,70.80,20.00,20.00,0.00,6/15/2023,3/17/2023,Yes
1002200021264,3.54,0.00,70.80,20.00,20.00,0.00,6/15/2023,3/17/2023,Yes
1002200021265,1.21,12.10,145.20,120.00,10.00,12.00,6/15/2023,3/17/2023,Yes
1002200021267,1.21,12.10,145.20,120.00,10.00,12.00,6/15/2023,3/17/2023,Yes
1002200021483,0.92,11.04,132.48,144.00,12.00,12.00,6/15/2023,3/17/2023,Yes
1002200021484,0.92,11.04,132.48,144.00,12.00,12.00,6/15/2023,3/17/2023,Yes
1002200021486,0.92,11.04,132.48,144.00,12.00,12.00,6/15/2023,3/17/2023,Yes
1002200021488,0.92,11.04,132.48,144.00,12.00,12.00,6/15/2023,3/17/2023,Yes
