concat,invoice_number,invoice_date,sku,billed_qty,gross_price,oi_deal,promo_allowance,cash_discount,freight_amount,others,net_price,gross_price_per_qty,net_price_per_qty,fuel_allowance,lane,freight_rate,freight_weight,gross_weight,total_freight,order_number,bol,carrier,freight_type,invoice_status
3.58217E+20,35821743,9/26/2023,2200028673,84,"1,814.40",0,0,0,0,0,"1,814.40",21.6,21.6,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,18,951.84,0,0,0,0,0,951.84,52.88,52.88,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,102,"1,652.40",0,0,0,0,0,"1,652.40",16.2,16.2,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,112,"1,814.40",0,0,0,0,0,"1,814.40",16.2,16.2,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,80,"1,440.00",0,0,0,0,0,"1,440.00",18,18,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,336,"5,443.20",0,0,0,0,0,"5,443.20",16.2,16.2,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,10,404.4,0,0,0,0,0,404.4,40.44,40.44,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,247,"9,792.00",0,0,0,0,0,"9,792.00",39.6437247,39.6437247,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,270,"5,508.00",0,0,0,0,0,"5,508.00",20.4,20.4,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,72,2293.92,0,0,0,0,0,2293.92,31.86,31.86,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.0022E+12,403,8221.2,0,0,0,0,0,8221.2,20.4,20.4,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,100,"2,352.00",0,0,0,0,0,"2,352.00",23.52,23.52,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,105,"3,704.40",0,0,0,0,0,"3,704.40",35.28,35.28,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,84,"2,963.52",0,0,0,0,0,"2,963.52",35.28,35.28,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,63,"2,222.64",0,0,0,0,0,"2,222.64",35.28,35.28,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,75,"4,350.00",0,0,0,0,0,"4,350.00",58,58,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,75,"5,202.00",0,0,0,0,0,"5,202.00",69.36,69.36,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,375,"26,010.00",0,0,0,0,0,"26,010.00",69.36,69.36,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,84,"4,122.72",0,0,0,0,0,"4,122.72",49.08,49.08,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,112,"5,496.96",0,0,0,0,0,"5,496.96",49.08,49.08,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,54,"1,766.88",0,0,0,0,0,"1,766.88",32.72,32.72,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,108,"3,533.76",0,0,0,0,0,"3,533.76",32.72,32.72,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,168,"5,496.96",0,0,0,0,0,"5,496.96",32.72,32.72,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,126,4122.72,0,0,0,0,0,4122.72,32.72,32.72,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,1.004E+12,24,785.28,0,0,0,0,0,785.28,32.72,32.72,,,,,,,,,,,Yes
3.58217E+20,35821743,9/26/2023,2200028673,84,"1,814.40",0,0,0,0,0,"1,814.40",21.6,21.6,,,,,,,,,,,Yes
